t,tRel,x,y,z,alpha,beta,gamma
1433109584378,0.0,-0.12622335596547959,-0.0056743313844975982,-0.98292531763633484,319.12235516240867,0.3557585464040649,-7.1870033749473254
1433109584429,0.050999999999999997,-0.14914948925208851,-0.0096250081810092484,-0.98907254300080572,319.02228820943043,0.34247387595487933,-7.1282129596008321
1433109584480,0.10199999999999999,-0.11652208606055087,-0.0035540838753995618,-0.9652464649996223,318.8397483928361,0.28401488385344209,-7.1240570405947157
1433109584531,0.153,-0.10489886120849864,-0.0074895069771707349,-0.99166564765701004,318.78912590124105,0.22198857172754483,-6.9131359790575848
1433109584581,0.20300000000000001,-0.11074097613623188,-0.013941770218213115,-0.96639043124073642,318.72416767463233,0.014908146156184212,-6.9186613059404261
1433109584633,0.255,-0.10798008217620135,-0.0014795971304901471,-1.019625475594544,318.77906790204889,0.013133094542093183,-6.7859931123715622
1433109584684,0.30599999999999999,-0.12562846815488163,-0.0035235766022941751,-0.98974367531173935,318.76743532472011,-0.011389753656134068,-6.7812352519930492
1433109584735,0.35699999999999998,-0.12434716896873602,-0.00089996115262357286,-0.99010978051084131,318.72668769106303,0.011472101382613469,-6.7527254217249304
1433109584786,0.40799999999999997,-0.11118333177082333,0.00022880366820017474,-0.98924032328552569,318.6779772094705,0.0063986704225303427,-6.8091024306891974
1433109584837,0.45900000000000002,-0.11966432145808879,-0.0027914048407785023,-0.9900792547340207,318.65261022925415,0.073420474736318658,-6.7858804300634246
1433109584888,0.51000000000000001,-0.13144008477042815,-0.0056285703584639506,-0.95879417528313826,318.47436039298134,-0.020599054289148905,-6.854490183369701
1433109584945,0.56699999999999995,-0.11615600204180213,-0.0032642656537151403,-0.98780648366070811,318.20896101763515,-0.059558412465056144,-6.7847786311215401
1433109585011,0.63300000000000001,-0.095045048653762343,-0.00045760735094729549,-0.9624397991324426,318.09739969064589,-0.28546547054978927,-6.6961650339779952
1433109585062,0.68400000000000005,-0.11993888854529522,-0.002638869522631673,-0.98715056768795806,317.86683434818309,-0.41646845137260124,-6.604307822734178
1433109585113,0.73499999999999999,-0.097775437319072123,-0.00065590386969112348,-1.0024041483803792,317.65319983527684,-0.50956454088918268,-6.1240762859603493
1433109585164,0.78600000000000003,-0.085816631880982805,-0.0021812607751775692,-1.0206626612010765,317.44285377221377,-0.81723619197466379,-5.8310178199598095
1433109585216,0.83799999999999997,-0.02016523059841082,-0.0070471532045883502,-1.1192770881564273,317.78905628904448,-1.0870173997270796,-5.9891811329016376
1433109585267,0.88900000000000001,0.0074895069771707349,-0.035830653717164151,-1.1690952750962229,318.90195677445297,-1.5526024600092467,-6.2623594007219907
1433109585318,0.93999999999999995,-0.03101052481586172,-0.086701339426147578,-1.1713832671627418,320.14813466735598,-2.1917107256441835,-6.2889369605292265
1433109585369,0.99099999999999999,-0.0018914437172488211,-0.04775895572254181,-1.2931830904065469,322.04899651466741,-1.7307563578076972,-6.5636933823682249
1433109585421,1.0429999999999999,-0.076466188343293065,-0.0099605866722861317,-1.2805226501558167,325.74388712497631,1.0828939336953241,-7.4838044954579548
1433109585472,1.0940000000000001,-0.076466188343293065,-0.0099605866722861317,-1.2805226501558167,325.74388712497631,1.0828939336953241,-7.4838044954579548
1433109585523,1.145,-0.019722876825828434,-0.035571348470987918,-0.92107208343475266,330.67003291261733,5.2339713844785791,-7.5278606431101105
1433109585574,1.196,-0.09405355674999781,-0.0077793249661040221,-0.88365502591348344,333.29998616156701,6.7751500683212358,-8.1121716592567559
1433109585626,1.248,-0.094831500418662687,-0.021095691430634007,-0.88032979051815097,335.65527842666597,8.3955176493500012,-8.9157494727784172
1433109585677,1.2989999999999999,-0.22091756801095302,-0.07826611059035242,-0.81252762723809047,340.75221861473068,11.237923841018176,-9.5339551183363582
1433109585728,1.3500000000000001,-0.25031122841620695,-0.089630026472210272,-0.79628252159124358,342.62257007413831,12.537206267954032,-9.7517818298791337
1433109585780,1.4019999999999999,-0.28263355352341457,-0.11868809325736353,-0.76571439523618201,343.78718811315309,13.502023527370099,-10.407098054110657
1433109585831,1.4530000000000001,-0.26594613134416689,-0.16332007100112605,-0.81466314310525034,344.56149139932796,14.240811638026548,-10.721234421585274
1433109585883,1.5049999999999999,-0.23034429061252179,-0.18467506581592721,-0.85537493631315853,345.35351658579754,14.714749060528721,-10.907889440046148
1433109585934,1.556,-0.25336193664115259,-0.20416914269030015,-0.87781292029579561,345.77886777482081,15.094353448031727,-11.062420431961426
1433109585985,1.607,-0.21528900876635576,-0.2215277297656402,-0.89309702443752603,346.16787650901387,15.317451046067948,-11.250040790367802
1433109586037,1.659,-0.21315349848522297,-0.25032647361553095,-0.88388387055315687,346.40835756470801,15.421095949874237,-11.512414148629452
1433109586088,1.71,-0.1980524549729577,-0.25691601388314483,-0.89294449610191318,346.66714824813653,15.476673545279217,-11.536272076821593
1433109586139,1.7609999999999999,-0.18258533582098449,-0.26608342472150553,-0.91146232161682306,346.85798387567422,15.373459733226035,-11.69258127647872
1433109586191,1.8129999999999999,-0.19327808680674999,-0.27070524686301423,-0.92811920870920472,347.05359080559253,15.245609505069282,-11.791361403933765
1433109586242,1.8640000000000001,-0.20232346087190173,-0.26922564789960884,-0.92560237200301276,347.21407079392469,15.140484794734732,-11.988321205920041
1433109586294,1.9159999999999999,-0.22787320160736096,-0.26295645209600232,-0.95305884192099111,347.27823379918027,15.161598567857244,-11.971818232821983
1433109586345,1.9670000000000001,-0.21054514496386426,-0.27160522846864377,-0.94672861364933658,347.24532300622695,15.201951061979241,-11.967791827479138
1433109586396,2.0179999999999998,-0.2072808689527236,-0.26013453381421342,-0.95745185666300803,347.17083984071576,15.382392146090389,-11.91567457766163
1433109586447,2.069,-0.17961087966078623,-0.25658044633117122,-0.92314654402425333,347.10616094378508,15.518128179701819,-11.924109098095846
