t,tRel,x,y,z,alpha,beta,gamma
1438095222693,0.0,0.081377842438803111,-0.086716593935517033,-0.99990258992417247,10.182131904478879,4.6996044001279005,3.6935166066358511
1438095222744,0.050999999999999997,0.080355850826345082,-0.077015317164429831,-0.99590613819474694,10.094739316995996,4.6939458523883095,3.7615692339171489
1438095222795,0.10199999999999999,0.096463631441698963,-0.077533935570320872,-0.99399946206493939,10.267343086173177,4.7005722402474897,3.8442223785740945
1438095222846,0.153,0.06365318461152901,-0.10015499181997992,-0.99018602629130814,10.327865473167879,4.8009829237717545,3.8354541018537827
1438095222897,0.20399999999999999,0.081789689054655682,-0.080523642981372698,-0.98672346097670882,10.492035578035317,4.8343425284860837,3.9764022865515591
1438095222948,0.255,0.045669213624540086,-0.088989373387870441,-0.98892000372588984,10.820851869282786,4.8793369097433166,3.8037524830204203
1438095222999,0.30599999999999999,0.046553917445686703,-0.082338817875792433,-0.9855794719259835,10.865991993606881,4.885843388611586,3.6760736453819201
1438095223050,0.35699999999999998,0.064049777067138824,-0.082445587803821843,-0.98292531763633484,10.967974894258772,4.8661981099944098,3.6293996282872976
1438095223101,0.40799999999999997,0.056133169313872779,-0.091445199039118658,-0.99184869542697518,10.954790228808296,4.9217554961450523,3.5545805031394773
1438095223151,0.45800000000000002,0.057872076316467964,-0.086533548667626761,-0.97963059032873667,11.060311956373416,4.8618057429020816,3.5267335640048967
1438095223203,0.51000000000000001,0.01984490545274771,-0.082613379493347197,-1.0014736656695493,10.94983797000444,4.828234484517429,3.2918184681853955
1438095223266,0.57299999999999995,-0.068778384847378499,-0.080554148508844584,-1.0068886911096173,10.822217234802872,4.7599244295798133,3.3443371687923729
1438095223318,0.625,-0.15965920846952952,-0.057887328032823794,-1.0370907669620935,10.403222657540194,4.9368762155634034,3.449051925859397
1438095223369,0.67600000000000005,-0.31966924179341566,-0.074727280409693356,-0.98704378472586507,9.6302888109202343,5.2569239957259333,3.4175258893547422
1438095223420,0.72699999999999998,-0.31388812069704219,-0.066292053435907272,-0.99633326143132661,7.7245581075436327,5.2960341247984086,3.8603945386915153
1438095223473,0.78000000000000003,-0.32860785361132544,-0.056560272301103866,-1.0172916762427038,5.5415201878885618,5.5555622252368533,3.5731666464677203
1438095223525,0.83199999999999996,-0.38675447571827104,-0.054882378680963795,-0.99683662556059949,2.0272891467749443,5.3578409757266057,3.533530113667942
1438095223576,0.88300000000000001,-0.26827992883399809,0.0055523025248271846,-1.0062327835159079,357.77291395571461,4.9164848088357589,3.7544397067365258
1438095223627,0.93400000000000005,-0.34776634058961592,0.07275956880061997,-1.0874581236872254,351.97634721300534,4.479474144490224,3.3346572652026607
1438095223678,0.98499999999999999,-0.084138730812806414,0.102702343130938,-1.060306731853577,345.29986569671831,4.2748267255613337,3.6491043169969126
1438095223729,1.036,0.12147949809814201,0.076740745305825128,-1.0382805833147379,338.63062861408935,4.546236408756255,3.2952207129726228
1438095223780,1.087,0.38867643776430416,0.15549498529992728,-0.97313256873829879,331.74267001602612,4.72525150246239,2.1199493225323769
1438095223832,1.139,0.58204607117836615,0.14986640743523924,-0.9947926155183886,322.69117986858987,5.5065592636429672,0.94570087290538352
1438095223883,1.1899999999999999,0.47812341757211735,0.038789842333929438,-0.96590234093917726,321.21054796967854,5.8278311123121318,0.6240491476216099
1438095223934,1.2410000000000001,0.29111453843928176,-0.016931471985049931,-0.92348214881640833,320.99904401589197,5.8455939444782263,0.33848330592417281
1438095223985,1.292,0.1588202630559663,-0.070257980086765676,-0.98507606659975988,321.22130553451473,5.7213118043635918,0.3940808173026118
1438095224036,1.343,0.1588202630559663,-0.070257980086765676,-0.98507606659975988,321.22130553451473,5.7213118043635918,0.3940808173026118
1438095224088,1.395,0.072652794683070149,-0.070013926556945286,-0.98593028747029476,321.67360264047261,5.2015194549555552,0.858899313139182
1438095224138,1.4450000000000001,0.047270839352855622,-0.063866734475886602,-0.99535702659719405,321.98588104233681,4.9068374959630203,0.80370555431227086
1438095224189,1.496,0.0086945387369940733,-0.076176366630341621,-1.0157663128201855,322.10864609113764,4.79556210496549,0.9692250165667089
1438095224241,1.548,0.011501198087142025,-0.082765914636930671,-1.0279386720794017,322.08156655109855,4.7616581788647654,1.2320162809460002
1438095224292,1.599,0.025992097737463627,-0.09205534636323548,-0.98617433820710154,321.82311137552108,4.7735410133289893,1.4714641389964895
1438095224343,1.6499999999999999,0.067863170145483917,-0.083406570165157429,-0.97479519574601037,321.57684294647697,4.7696370842619382,1.73646968521008
1438095224394,1.7010000000000001,0.032840953754148632,-0.093245127337707526,-0.99319096982438981,321.63963440564595,4.4999281112281668,1.7678297559066676
1438095224445,1.752,0.056499254263626078,-0.081088022515126021,-1.0235913817633027,321.472699041976,4.6598671345304057,1.8979591065976602
1438095224497,1.804,0.0298665045764844,-0.084703119729339846,-0.9987585512974555,321.53256157743311,4.6334491254282275,2.1930633243828122
1438095224548,1.855,0.046614936646920166,-0.076267891359046963,-0.96584133407375394,321.5625305763844,4.8042008151159532,2.5538664322141047
1438095224599,1.9059999999999999,0.044265883367588271,-0.088669049638714137,-0.9834134451780755,321.69948307668233,4.8301520716992554,2.6351285069235315
1438095224651,1.958,0.050062242797127315,-0.093656969764039658,-0.99770607813089252,321.68844364459864,5.0102782607295131,2.5007293342016337
1438095224702,2.0089999999999999,0.033283307061228749,-0.099163513881283472,-0.99239781074854605,321.70724987422528,5.1451019911658715,2.5939140515797994
1438095224753,2.0600000000000001,0.049040254210434023,-0.087586044178298739,-0.99029284160580888,321.62467597412945,5.2355046059570691,2.6326610909162902
