t,tRel,x,y,z,alpha,beta,gamma
1433106927640,0.0,0.009472472280984582,0.0020287259807207931,-0.99279441961311077,356.7796334711274,-0.12803357315885786,0.53501173832081006
1433106927689,0.049000000000000002,0.010311418625552356,0.0011897789960874008,-0.99113178189884699,356.78210178362968,-0.13006868943858546,0.53269984380081881
1433106927740,0.10000000000000001,0.010189390755074265,0.0018609365605190015,-0.99345031510376103,356.78456610843563,-0.12858719641525185,0.53701787368550524
1433106927792,0.152,0.0081606641924756342,0.0016473865215980473,-0.99308422503348293,356.78475529491919,-0.12145380504540616,0.53792173695456169
1433106927843,0.20300000000000001,0.0096860226690322401,0.0019066973538015145,-0.99248932989122418,356.78583157053129,-0.12474358922512156,0.53895237578005295
1433106927894,0.254,0.0087250463592261629,0.0045303127743782246,-0.9930231958239506,356.78838925254712,-0.13794669805404375,0.53640007353256147
1433106927945,0.30499999999999999,0.0099910941199548697,0.0017999223052471457,-0.99192494050918845,356.79049295328196,-0.14430155648776397,0.53838417307698616
1433106927996,0.35599999999999998,0.010830040639085992,0.0024405724565590048,-0.99244355612206592,356.79284966454372,-0.14144624239495601,0.54019420828172504
1433106928047,0.40699999999999997,0.011760508686594359,0.0031879979364539423,-0.99291644125749623,356.79128870227925,-0.14531646945462037,0.54508629496430194
1433106928098,0.45800000000000002,0.01012837574336122,0.0039811839532414703,-0.99319101032308721,356.79293228688704,-0.14745784852408145,0.54990464973678466
1433106928151,0.51100000000000001,0.0076725502666763548,0.0015863722663261915,-0.99216901731412244,356.80146951958551,-0.1489007938200328,0.54735488897238915
1433106928202,0.56200000000000006,0.010921561876524316,0.0017999223052471457,-0.99151308039377006,356.79810683769023,-0.14929595962531536,0.54954694035151275
1433106928254,0.61399999999999999,0.0094419653570058971,0.0011440183773682386,-0.99067416337584524,356.8069741101051,-0.14332137033316802,0.55520505340116266
1433106928306,0.66600000000000004,0.0094419653570058971,0.0011440183773682386,-0.99067416337584524,356.8069741101051,-0.14332137033316802,0.55520505340116266
1433106928357,0.71699999999999997,0.010052108055193914,0.0014185827297488322,-0.9928554432366159,356.80916893728846,-0.13519010447034965,0.56224006949158267
1433106928409,0.76900000000000002,0.0125994554966644,0.002242276121470369,-0.99218427647851448,356.81381277386328,-0.13824281028478982,0.56767987110368978
1433106928460,0.81999999999999995,0.0096707683342261413,0.0028676727326030515,-0.99496043099944398,356.81457198440307,-0.12952018616345951,0.57112462091673621
1433106928512,0.872,0.0087708076761987309,0.0027303904691310791,-0.99277914043212101,356.81663656323417,-0.12785301986208816,0.5696182064397679
1433106928563,0.92300000000000004,0.0092894288751033966,0.0019066974119892981,-0.99320623224729776,356.82006321487211,-0.12365707635630455,0.57015273975686609
1433106928614,0.97399999999999998,0.0070624065502021254,0.0024863333607619805,-0.99258082529328651,356.82496401353484,-0.11766261222947555,0.5644710963941616
1433106928664,1.024,0.010448701354526597,0.0019829651801648073,-0.9928249207183113,356.831036640013,-0.11164402195161248,0.5586047559947882
1433106928715,1.075,0.0086640322785176589,0.0018609365968863662,-0.9908266647123265,356.83564607252828,-0.10864898946833437,0.5544073101155349
1433106928766,1.1259999999999999,0.0084809898036410109,0.0028219119975083219,-0.99464007466512883,356.84052795366858,-0.10704110726834599,0.55622001227851903
1433106928817,1.177,0.0088623291463881902,0.0019829651583443881,-0.99284014217701955,356.84434123841186,-0.10253254170113736,0.5591109591929434
1433106928868,1.228,0.010677504855436894,0.0016016256846746962,-0.99290119326515835,356.84717530329323,-0.10489222302019753,0.55290521226360534
1433106928919,1.2789999999999999,0.0076725494520473846,0.0026693762720470071,-0.99345029974218624,356.84726800315457,-0.098699340866310853,0.55249892582820614
1433106928970,1.3300000000000001,0.0098385584381343923,0.0020287258934391181,-0.99294692839762833,356.85290542083538,-0.097458016272013073,0.55376090360382535
1433106929021,1.381,0.010418193674106725,0.0028829263109679611,-0.99210801510372171,356.85427612764693,-0.10165096511540737,0.55391262238938099
1433106929072,1.4319999999999999,0.0094267111967631517,0.0016931471985049929,-0.99435026458973419,356.85272878576893,-0.10766157408097082,0.55048961784151584
1433106929124,1.484,0.0091216398622160893,0.0030964764080766991,-0.99290117045554727,356.8556434725233,-0.09921606625465304,0.55204745596068927
1433106929175,1.5349999999999999,0.0089691040785669918,0.0014033292095717059,-0.99238257718677869,356.86103920412688,-0.10613223554073058,0.55199437278526797
1433106929226,1.5860000000000001,0.010555476519456533,0.0025626012234926383,-0.99248930382309708,356.85753741991152,-0.10626439581617839,0.55274363259062553
1433106929278,1.6379999999999999,0.0099453335303295986,0.0030507156729819695,-0.99018602373104558,356.85629098220801,-0.10989005377716979,0.54782785285147262
1433106929329,1.6890000000000001,0.010387687215630308,0.0025626011653048547,-0.99148258254708566,356.85894335778863,-0.1096948795611602,0.55216123173750475
1433106929382,1.742,0.009502978943118242,0.0013423149542998501,-0.99062837750362798,356.86393682036004,-0.11466590294400127,0.54648718127895513
1433106929433,1.7929999999999999,0.011592719557331484,0.0024710796369276115,-0.99088770043889041,356.8672396551479,-0.11064471429606529,0.55413998594107905
1433106929485,1.845,0.0090758794762480621,0.001647386434316372,-0.99267238912418243,356.86449943091662,-0.11121915076534454,0.55343648588112382
1433106929536,1.8959999999999999,0.0078708463199179141,0.0018151757963303801,-0.99334354238271805,356.86827551328241,-0.11181288428685159,0.55435133368811718
1433106929587,1.9470000000000001,0.0087097931299879548,0.0023032902458197117,-0.99259609330222187,356.87047983405245,-0.11906576248748366,0.55092506000703889
1433106929638,1.998,0.0087097931299879548,0.0023032902458197117,-0.99259609330222187,356.87047983405245,-0.11906576248748366,0.55092506000703889
1433106929690,2.0499999999999998,0.009563993583884163,0.0018151758108773258,-0.99108602581877503,356.87385867822252,-0.11153093025783904,0.55130042902722198
