t,tRel,x,y,z,alpha,beta,gamma
1433107980879,0.0,-0.064537888898177895,-0.15612037799793155,-0.99204697658414409,352.49809397371234,8.9951614893470175,-3.8631056561584476
1433107980926,0.047,-0.064705677527844091,-0.15085788397742891,-0.98295584876643161,352.36071808339767,8.8288220410978244,-3.756134164078202
1433107980977,0.098000000000000004,-0.061822751949223945,-0.14370396177581568,-0.98310838501558306,352.36637514971409,8.7962075694742357,-3.7864470776817387
1433107981028,0.14899999999999999,-0.070151203641704504,-0.15753895037025487,-0.96968522464965667,352.32555574176058,8.7776770459697513,-3.804555254067095
1433107981080,0.20100000000000001,-0.060953302870197915,-0.16360987968001395,-0.97056991078171706,352.22359504630373,8.8843075714905044,-3.8399088166518909
1433107981131,0.252,-0.054882372163932013,-0.164159003846128,-0.97667135702375352,352.17387006224902,8.9097473475974116,-3.7416497922450627
1433107981182,0.30299999999999999,-0.040681291637205484,-0.15567801916301197,-0.97055465999636581,352.1585798998284,8.8641148771197553,-3.6846828782809831
1433107981252,0.373,-0.040681291637205484,-0.15567801916301197,-0.97055465999636581,352.1585798998284,8.8641148771197553,-3.6846828782809831
1433107981303,0.42399999999999999,-0.062829490797946044,-0.15456450904794145,-0.9722173074861773,352.33332227319602,8.8610377880915827,-3.5769799481948903
1433107981355,0.47599999999999998,-0.067619114055401025,-0.15784402985109164,-0.96538371927477029,352.26090610093422,8.953827306321875,-3.7505108456488747
1433107981406,0.52700000000000002,-0.050291046007098689,-0.15720338398203701,-0.97490195682949665,352.35525808961017,8.8675328459130967,-3.8730905853488404
1433107981457,0.57799999999999996,-0.082003235427746263,-0.15062908006920411,-0.99091820945762932,352.38349515370822,8.8581140589579981,-4.0286908131840953
1433107981517,0.63800000000000001,-0.084489573356249265,-0.14791394568051264,-0.98060681422356599,352.36165663869343,8.9161077704189786,-4.111122759823072
1433107981570,0.69099999999999995,-0.074025617201414304,-0.16490644035806307,-0.95798570769966196,352.35424992268514,8.9484191879254489,-4.0372528139525965
1433107981621,0.74199999999999999,-0.062310865758647659,-0.15898805078872236,-0.96272957429516715,352.32943147449242,9.0118189441831387,-3.9648258738210047
1433107981672,0.79300000000000004,-0.081530377291447673,-0.16594367903185425,-0.96340076153536836,352.26224251618942,8.9992399960750635,-3.8532260730042025
1433107981723,0.84399999999999997,-0.034137508380668244,-0.14783767871969264,-0.97505451402625032,352.20739658786931,9.0095406411229852,-3.8853700136102414
1433107981774,0.89500000000000002,-0.091521473913477244,-0.14722754582614617,-1.0218829679523691,351.84085075211891,9.5253281541106816,-4.1504590085663216
1433107981825,0.94599999999999995,-0.086579310799228301,-0.17353996222133503,-0.95583497735632772,351.44778984823546,9.8438139338145838,-4.452767621371291
1433107981876,0.997,-0.047118303569206522,-0.17744488340327691,-0.96367533711799114,351.47305614239565,10.055051866566174,-3.8612154811635988
1433107981928,1.0489999999999999,-0.047118303569206522,-0.17744488340327691,-0.96367533711799114,351.47305614239565,10.055051866566174,-3.8612154811635988
1433107981979,1.1000000000000001,0.026739522873686965,-0.12686401498497335,-0.91989755417663643,351.9926702752046,10.184343119929688,-3.5189182173474496
1433107982031,1.1519999999999999,0.051770648694522178,-0.13275188878579225,-0.85633590430211148,352.36674393558786,10.209865648840649,-3.5197404471497591
1433107982082,1.2030000000000001,0.095807733158035077,-0.10805635658505768,-0.75520466484668658,353.33938314280783,9.7894267493161262,-3.8171987656141249
1433107982133,1.254,-0.029271615020252922,-0.03551033043351013,-0.84915143910009372,353.63380412164423,9.6932880698681174,-3.2179211582800291
1433107982184,1.3049999999999999,0.063363371975871816,-0.013255359599106658,-0.6966614012900173,353.62132015061934,9.9783078331155934,-4.4303187111293791
1433107982236,1.357,0.043274401821249239,-0.11039015035087073,-0.70132902606182501,355.48732698037441,8.1962503506292617,-4.3768592038879657
1433107982287,1.4079999999999999,-0.04397606642603509,-0.1245759763682278,-0.80288736571146735,356.89216179899228,5.8758688283162632,-4.9894005452456032
1433107982339,1.46,-0.023673553622340086,-0.027166623067904436,-0.81733247463089176,359.02204033431087,2.6410098014021743,-5.1990817064078287
1433107982390,1.5109999999999999,-0.13195870643483509,-0.03174269657737739,-0.95890096150374704,0.80021716087964834,-1.2453283943130893,-5.2162731467630339
1433107982442,1.5629999999999999,-0.14672417401608598,0.016794189779765743,-1.1279563742460612,2.6516252968583491,-4.5467198324268212,-5.1098512542229289
1433107982493,1.6140000000000001,-0.18613941678699486,0.089202922553974634,-1.1120926676426275,4.5645961834594706,-8.3665461148986022,-5.6979963014552784
1433107982544,1.665,-0.23167135565428709,0.22964261855969959,-1.3740575926894441,7.2013860926157154,-12.9102073405166,-4.7724465168940888
1433107982596,1.7170000000000001,-0.23167135565428709,0.22964261855969959,-1.3740575926894441,7.2013860926157154,-12.9102073405166,-4.7724465168940888
1433107982647,1.768,-0.19979136942358919,0.19831177232219294,-1.1681800454982558,7.6850986296532797,-13.089115844651715,-4.589356869090671
1433107982698,1.819,-0.14570218054161885,0.19649660394480498,-0.97387996614804329,8.4238071478750989,-13.415813456311202,-4.0656028351987885
1433107982749,1.8700000000000001,-0.16287770978050736,0.20871471462907051,-0.99265713973533809,8.291376559926606,-13.503976380659628,-4.0217970828262235
1433107982801,1.9219999999999999,-0.18578858448460195,0.22151246594622537,-0.98702855256060451,7.9221760016422778,-13.51522538143502,-4.1170789255497677
1433107982852,1.9730000000000001,-0.21495343376634587,0.22197006584913634,-0.96915134475186215,7.02621356026411,-13.457337720362263,-4.0445746257434694
1433107982903,2.024,-0.25934133191216091,0.21571609965052782,-0.98181181386373284,5.4562250610260055,-13.119149422001932,-4.2646924211993635
