t,tRel,x,y,z,alpha,beta,gamma
1432607725954,0.0,0.019341538297710226,-0.23765074533926819,-0.98940809216543968,4.2346190171815392,13.222593632867369,1.7587884062036454
1432607726004,0.050000000000000003,0.011607973135696394,-0.23699484333158616,-0.9649413412960699,4.5391303140156394,12.992306387446799,1.917836202657168
1432607726055,0.10100000000000001,0.038927132918254476,-0.23197642070455349,-0.94323553466097576,4.7397659447673277,12.898846675638341,1.8438593124255447
1432607726106,0.152,0.02921060070679328,-0.22460893444076349,-0.97026484200743246,4.9999020983156237,12.745964032976568,1.9638345674964495
1432607726157,0.20300000000000001,-0.0016778954821491609,-0.21908713879627414,-0.98155250954856121,5.0866098008492822,12.673319145715068,1.772785098797623
1432607726208,0.254,0.019066973887141847,-0.22088706620749926,-0.9895758666313812,5.1407410916902201,12.597059695468012,1.7063627657040208
1432607726259,0.30499999999999999,0.030156323845548932,-0.21753127448675977,-0.95807727758208738,5.1568896733461864,12.545839236172917,1.7063455941495971
1432607726310,0.35599999999999998,0.032429107836549474,-0.22015490142851768,-0.963721065267927,5.1686420415644037,12.512347447251816,1.7880302324614987
1432607726362,0.40799999999999997,0.037111957092830203,-0.21884309531839335,-0.96282114417759257,5.2145161789902277,12.513057479775467,1.8400394340551001
1432607726413,0.45900000000000002,0.037630578291734863,-0.22393777745820972,-0.95694851092107491,5.3178654942418291,12.449566947005934,1.9766512249629142
1432607726464,0.51000000000000001,0.02875299521785506,-0.21621947681386411,-0.96948692487239707,5.3693563588830386,12.433240448327023,2.044715569193468
1432607726515,0.56100000000000005,0.031269834251558382,-0.2137789012497138,-0.97682390467771052,5.4248846128690866,12.478385245782714,2.0906434356510855
1432607726575,0.621,0.029454659822640918,-0.22315985473714695,-0.96697007001161639,5.4033468420663633,12.59382251550239,2.0808936735485899
1432607726626,0.67200000000000004,0.049330072432118448,-0.21920917328561262,-0.93760697727838738,5.4961234411600097,12.550074938617508,2.1010543349782456
1432607726677,0.72299999999999998,0.033847691788241756,-0.20998075604733082,-0.93162756711130656,5.7447483035188638,12.516467975738097,2.3434578244726243
1432607726728,0.77400000000000002,0.027639483066212108,-0.18923589691908974,-0.89877132952114547,5.8833946669433868,12.485085073095966,2.3714323725671829
1432607726779,0.82499999999999996,0.030034294869502952,-0.20444371268689576,-0.84207377873877565,5.9850255638956789,12.206557320826093,2.2182015232956687
1432607726831,0.877,0.037905141305796433,-0.2155635629358742,-0.78278314942651617,5.7848856025583721,11.690639061867788,1.3695697694376525
