t,tRel,x,y,z,alpha,beta,gamma
1433106844554,0.0,0.018761901796153599,-0.034930695881244249,-1.000711000716372,349.69690617142436,1.9828927020648743,1.0372884982846207
1433106844605,0.050999999999999997,0.013819741533106054,-0.037035687048057653,-0.99808740409044938,349.76299255246545,2.0779935895643544,1.0459055674629263
1433106844656,0.10199999999999999,0.0142010813413555,-0.036578080802678242,-1.0117851214189078,349.78140131078084,2.1884143344368479,0.91802648500216333
1433106844707,0.153,0.00064065029132621368,-0.04389979830145941,-0.97503921948368566,349.80227728198275,2.3829762614954966,0.88114909935130703
1433106844758,0.20399999999999999,0.022926128282459504,-0.064980243834515949,-0.9674734613727719,349.7739043587822,2.4552240160339709,0.88678392623681157
1433106844810,0.25600000000000001,0.01493325287012004,-0.033283306130224212,-0.98420662846003737,349.74017892599954,2.4163189659265911,0.89206328177211969
1433106844860,0.30599999999999999,0.01110460411864983,-0.035403553522946676,-0.99291645801557782,349.77055843614386,2.4070870639334849,0.90239803555261688
1433106844924,0.37,0.01110460411864983,-0.035403553522946676,-0.99291645801557782,349.77055843614386,2.4070870639334849,0.90239803555261688
1433106844975,0.42099999999999999,0.011638481223430752,-0.033573126446668843,-1.0026482242543087,349.81742850460063,2.3669270796539852,0.92795543962157523
1433106845026,0.47199999999999998,0.034732397936899723,-0.031803709959832498,-0.9997805339489948,349.96148118195026,2.403800507670149,0.9320374711805206
1433106845078,0.52400000000000002,0.0014185827879366157,-0.038591553030470786,-0.98492355595323344,350.10201784681362,2.4063185444599493,0.88242630982508374
1433106845129,0.57499999999999996,0.02612937880808603,-0.01998218952004098,-1.0155527534130313,350.46521192163146,2.1735226050540519,1.0467733687530052
1433106845185,0.63100000000000001,-0.010616490541977254,-0.061883769288448333,-0.97732727672052189,350.66258680887182,2.5779529719820369,0.81359015375732902
1433106845236,0.68200000000000005,-0.0016321328850453537,-0.058680515038803643,-0.9709665028882003,350.54993677819061,2.7259677312886925,0.75626348673832822
1433106845287,0.73299999999999998,0.0070318991607211702,-0.057963597786657418,-0.97654932560382079,350.47148171632023,2.64299978580289,0.74687426543644864
1433106845338,0.78400000000000003,0.0064065029132621357,-0.032520628142983253,-0.99630274426629806,350.29854032138229,2.6014462408224985,0.73557010685899582
1433106845390,0.83599999999999997,0.060739749049071007,-0.024970106852352882,-0.96193642359836418,350.68118176232667,2.0195719726798949,1.4272750832135572
1433106845441,0.88700000000000001,-0.017755165216755065,-0.027975062255742394,-1.0271606967565825,350.76651016228499,1.8427494916443776,1.5282094120586047
1433106845492,0.93799999999999994,0.030827481875482805,-0.030385128102900418,-0.98356600144382456,350.59982852247254,2.0298460409024162,1.3256776172975737
1433106845543,0.98899999999999999,0.022697323821450774,-0.040605025141887748,-0.99866704091931235,350.55011705335761,2.0261232121988324,1.3217593455973646
1433106845595,1.0409999999999999,0.023246452962620338,-0.027151368558534995,-0.99985683174934015,350.50404401945809,2.0906518819021449,1.1942293974536482
1433106845647,1.093,0.0077793245006017525,-0.035464570163917665,-1.0055311524272856,350.32313862422075,2.3122989269499246,0.87761733992634494
1433106845697,1.143,0.0047286092931220526,-0.04463197169223302,-0.98737941000012008,350.06158184801171,2.6839762006570074,0.44788800643214266
1433106845748,1.194,0.017450093649456867,-0.04928431239527712,-0.98042373823252604,349.99598689143778,2.7491533663925347,0.46159860901744354
1433106845799,1.2450000000000001,0.022712577719848494,-0.051404559089746185,-0.9750239956974659,350.16082438394261,2.395587423062898,0.93853147919834445
