t,tRel,x,y,z,alpha,beta,gamma
1433106551323,0.0,0.011974058085449692,-0.0012813005826524274,-0.99364861348451416,2.8105981308077741,-0.60824379101303794,1.3348757096798542
1433106551371,0.048000000000000001,0.0091674015283153588,-0.00038133945912274619,-0.98962168136473916,2.8025121706083955,-0.4110033461406829,1.4002388404516704
1433106551422,0.099000000000000005,0.0088775826083775326,-0.0016168793066804437,-0.97783061873843691,2.6904623815219542,-0.50370546773256619,1.2286701380723763
1433106551473,0.14999999999999999,0.037417028660128394,-0.00059488955623148408,-0.98553369908782973,2.7037146832679562,-0.66219775122407865,1.2967600166946576
1433106551525,0.20200000000000001,0.029652957272389282,0.0033710408186450763,-0.98933185685877401,2.7322967585177302,-0.74063445745583201,1.2840487610806823
1433106551576,0.253,0.024405726082109162,0.0089996107697945405,-1.0190305823142942,2.6831158973005897,-0.77408747014611234,1.2585996316741692
1433106551660,0.33700000000000002,0.02321594708602176,0.0091826537101734589,-0.9925503684108018,2.7600795298639107,-0.77081075908053309,1.2214977183974547
1433106551711,0.38800000000000001,-0.0034778158671994451,0.0017846686686944523,-0.97958477280236522,2.9185031292624783,-0.83081116478129424,1.175216985003013
1433106551762,0.439,0.017724658176400808,0.0092589220675002772,-1.0008788184740245,2.9092650391503008,-0.9531093305061773,1.057861669881728
1433106551816,0.49299999999999999,0.01488749201864974,0.012492680680861165,-1.0092072303660611,2.9128285475246889,-0.97414813191324279,0.99172972676643389
1433106551867,0.54400000000000004,0.0050946951738798894,0.0057811071313053717,-1.0035634203361126,2.8070994780286447,-0.97860276502169607,0.97821973556046093
1433106551942,0.61899999999999999,0.032718925592731624,0.014567167803991173,-0.97958477838839242,2.7068666432425803,-0.8846903543462673,1.1569133098489557
1433106551993,0.67000000000000004,0.045409902792336622,0.007352224771886547,-0.98458795395409193,2.3852263700383181,-0.72358433433309255,1.6696826150322275
1433106552044,0.72099999999999997,0.031696935354959974,0.0028219119975083219,-1.0014736712555767,2.2930529854078139,-0.71536178472420853,1.8123725029379369
1433106552095,0.77200000000000002,0.033435845288764761,0.00088470754516477128,-1.0404160433216256,2.2281668842034814,-0.86646608705252848,1.924902264206209
1433106552147,0.82399999999999995,0.069144470728136342,0.00016778936201400832,-1.0922629710800269,2.179059348977602,-1.0904478447095718,1.7917481418429437
1433106552198,0.875,0.023444749481364168,-0.021202475789233764,-1.1977109732127211,2.2502316593255771,-1.2830941462015426,1.6045968028785695
1433106552249,0.92600000000000005,0.02890553100150416,-0.02382609126799826,-1.3439012682620173,2.5911512845257967,-0.93277771481950633,0.39846041297935186
1433106552300,0.97699999999999998,-0.051343542914277472,-0.074330688303210227,-1.4397699784933304,2.6138605934558878,-0.31021115533254762,-0.37625506274487808
1433106552351,1.028,-0.10935290143602963,-0.095228091594141251,-1.4937981828539864,1.9323372958129839,0.68683305744055456,-1.7360732050680319
1433106552401,1.0780000000000001,-0.045531931419255899,-0.0021049938143575587,-1.3493925266812394,0.93228376887743791,2.4630662849378289,-1.9917370881921923
1433106552451,1.1279999999999999,0.032169796771594872,0.067298787745982247,-1.0076819013907106,0.49309297118266437,5.5988009099433835,-1.7134046577629003
1433106552503,1.1799999999999999,0.019753382120549175,0.0038439017479572819,-0.78853371867794197,359.60306904484491,8.4939614625326065,-1.6842759761737871
1433106552554,1.2310000000000001,-0.012126594800103328,-0.081850708954142551,-0.48741284307232924,359.31920692947136,11.674638446358278,-0.17417914685281624
1433106552605,1.282,-0.012126594800103328,-0.081850708954142551,-0.48741284307232924,359.31920692947136,11.674638446358278,-0.17417914685281624
1433106552656,1.333,-0.05132829305993071,-0.14672417029206783,-0.75583007645572053,359.21519723849673,11.807708038918785,-0.95247783166989519
1433106552707,1.3839999999999999,0.0033710408186450763,-0.169757081071118,-0.86130857084907209,358.99282140481063,11.63066517469279,-0.7100708412979575
1433106552759,1.4359999999999999,-0.013972277316755152,-0.19198153730075534,-0.91924167265105405,358.68516766972454,11.741505902927955,-0.47821000112596707
1433106552810,1.4870000000000001,0.010936815687640362,-0.17738386839156384,-0.81933072318884015,358.87741771245811,11.433872743819984,-0.58844478743549455
1433106552861,1.538,-0.033252799904498934,-0.20149977206246816,-0.8901988333761387,359.04573869120208,11.063011631251531,-0.70082823082882473
1433106552912,1.589,-0.021690588434901802,-0.18075490269317715,-1.0396838864561826,359.21117495114373,10.958116624341415,-0.86723044244188952
1433106552963,1.6399999999999999,-0.025931083220346745,-0.19759485413904215,-0.95153347011943212,359.11704114443171,10.745479248399194,-1.0388629319695488
1433106553015,1.6919999999999999,-0.0099605857412815926,-0.19317131222369788,-1.1168212620396769,359.18854869161561,11.395800023864558,-1.0469217791952823
1433106553065,1.742,-0.026129380204592836,-0.18685633310813654,-0.93190210172972965,359.19013790213779,11.212987168225714,-1.1294183820588721
1433106553116,1.7929999999999999,-0.049177538510478423,-0.19651184448910636,-1.0154612263568148,359.03471796951902,11.56707426663726,-1.005223079238899
1433106553168,1.845,0.039064416054543194,-0.18040406759777061,-0.98795903666794127,358.77402027152579,11.443038646715662,-0.89025950477629179
1433106553219,1.8959999999999999,0.011943552790728949,-0.21030107933098485,-0.9399712782009304,358.69090456092727,11.11314052857691,-0.78168738117686498
1433106553270,1.9470000000000001,0.082460840916684486,-0.19430007795370574,-0.98092711341747774,358.6584587454679,10.900747612281064,-0.96631608172886385
1433106553322,1.9990000000000001,0.10557001772555014,-0.20006592824813033,-0.97357487502964979,358.96520083977879,10.550909322227373,-0.77903069913198264
1433106553372,2.0489999999999999,0.18247855984142558,-0.20092013794661068,-1.0175509442486983,359.47199044244758,10.473744750925187,-0.56777996261128161
1433106553424,2.101,0.19660337014881621,-0.22524958426658742,-0.98817254719735714,0.47259427316487274,10.624003048067671,-0.19032907692316675
1433106553475,2.1520000000000001,0.24167769508994155,-0.19452888488769529,-0.98123219801883943,1.757582625267931,10.680730902384905,0.044370044505666083
1433106553526,2.2029999999999998,0.23838292175580658,-0.19033414606594681,-0.97381895742061086,3.8876525365205632,10.863098024633038,0.47466816562178721
1433106553579,2.2559999999999998,0.17247221243404473,-0.16997061813416323,-0.95929755267922567,6.5678707524789246,10.94847283890036,1.0903813829771192
1433106553630,2.3069999999999999,0.12864867992964965,-0.17575173178250034,-0.95266225540053528,9.5569979025359544,10.988923833046304,1.5834547687498191
1433106553681,2.3580000000000001,0.043259148242884328,-0.13665680112319104,-0.90967768274027383,13.131554547706878,10.1651600011621,1.935377915419312
1433106553732,2.4089999999999998,-0.05623993970740445,-0.084306527622856731,-1.0202203390826483,16.50474158636699,9.8485139296498829,1.9801070433883681
1433106553783,2.46,-0.2459791972644999,-0.062768474971604024,-1.0566763727546922,21.43871058878592,9.4646338896642348,1.7055486296041482
1433106553833,2.5099999999999998,-0.28852144594432427,-0.0096555151049879349,-0.99337405698748427,23.300442354430096,9.3748704956362694,1.2255819103258356
1433106553885,2.5619999999999998,-0.11295274406813925,-0.12683350410422539,-0.95109112938091322,24.390164060884921,9.7757913404196657,1.8602351394443206
1433106553935,2.6120000000000001,-0.11295274406813925,-0.12683350410422539,-0.95109112938091322,24.390164060884921,9.7757913404196657,1.8602351394443206
1433106553986,2.6629999999999998,-0.012370652053941887,-0.13584836519386895,-1.026565827682451,24.114576573178162,9.623457236853719,2.6278562003717481
1433106554038,2.7149999999999999,0.00050336808604202498,-0.14559540549306452,-0.95726880999861097,23.883637651817978,9.7757220379010565,2.7984188305145263
1433106554089,2.766,0.033664645589346953,-0.16158115096446732,-0.9993534680855698,23.480819404395763,10.067795529328208,3.2088882991229819
1433106554140,2.8170000000000002,0.021690588434901802,-0.15541870437403921,-0.95861112117070491,23.422068970341858,10.20163483563813,3.2118050997351246
1433106554191,2.8679999999999999,0.065880204958045627,-0.17938208820474716,-0.97586293645600641,23.1487962999391,10.415242001832297,3.5056026329845742
1433106554242,2.919,0.051465572937703555,-0.16580639496456095,-0.94590490156478946,22.847103882232837,10.807353241767398,3.4317868114523722
1433106554294,2.9710000000000001,0.045669213624540086,-0.161977756105014,-0.89353935214198132,22.500075670884751,11.270013221325065,3.2229817319998779
1433106554345,3.0219999999999998,0.034213777203497331,-0.13754150866835579,-0.89581215766246181,21.395725595056664,13.485866943041836,1.4139844014264973
1433106554396,3.073,0.021385516402101339,-0.16676736481552307,-0.53129741782032014,20.815597373944165,14.061222406766907,0.1006516219352987
1433106554447,3.1240000000000001,-0.016397596742278087,-0.1655623470207678,-0.70277814579863673,19.94891494544272,14.591088800829738,-1.317580967841057
1433106554498,3.1749999999999998,-0.0089233414814631831,-0.11145789711239625,-0.75909431243366599,19.106937985727601,14.646273988990893,-2.3499573422160576
1433106554550,3.2269999999999999,0.0068641102642094309,-0.14975963238668488,-0.82436440404926048,18.564955219705165,15.036320259531328,-3.1408407168010282
1433106554601,3.278,-0.0011287647990033288,-0.15671525667304748,-0.77132771207446893,18.656591462693154,13.120930811127327,-2.9744941629196684
1433106554652,3.3290000000000002,-0.08494717791418295,-0.081606651700303998,-0.60584165528963463,19.507902958264285,10.005903642213292,-2.4761259931198665
1433106554704,3.3809999999999998,-0.060373663168313177,-0.08230831086453208,-0.88604983771677426,19.688970735887001,4.7248837948627953,-1.9618514259117608
1433106554755,3.4319999999999999,-0.11827624291749279,0.029317377617356727,-1.0066903927288644,19.362061676031793,-0.83918080312255083,-1.4080252564343365
1433106554805,3.4820000000000002,-0.034000226175384049,0.14956133959195919,-1.7045111143868508,19.056161666024387,-6.6699444694289847,-0.93341345313542379
1433106554856,3.5329999999999999,-0.10769026325626352,0.042633751529923027,-1.8747868096743396,19.045688691518315,-8.0343417564654018,-0.96238448912084396
1433106554908,3.585,-0.045348889409881514,0.038561046106492095,-1.4413716638059364,19.231503119439548,-7.0600370306235387,-0.5779245357193783
1433106554959,3.6360000000000001,-0.044830268676479122,0.0073369711935216365,-1.149830005621342,19.584979516260443,-5.3931635274422867,-0.4104350925953249
1433106555010,3.6869999999999998,-0.050580864927036513,0.013880756312067961,-0.9585806065659388,19.798436923385776,-3.985545867865055,-0.45809288087247968
1433106555061,3.738,-0.040605024676385472,0.044845518530825877,-0.95678072155906091,19.884562844833244,-3.0899709458052862,-0.64158277184050849
1433106555112,3.7890000000000001,-0.02890553100150416,0.060419425765416986,-0.93312241034303145,19.762155094983893,-2.3482107798482352,-0.78962364183171907
