t,tRel,x,y,z,alpha,beta,gamma
1433107126186,0.0,-0.049802934292435194,-0.098507607684080997,-0.99589085622074347,336.59147422531817,5.4033493628294069,-3.0034069129097616
1433107126237,0.050999999999999997,-0.074788296585162062,-0.11490520396085681,-0.96947165779446631,336.61267312809093,5.5541072437699386,-3.1295736923836981
1433107126289,0.10299999999999999,-0.055660307977246089,-0.090041870760551479,-0.97839501510300664,336.49283711883476,5.4704706966759069,-3.1735197874036776
1433107126340,0.154,-0.042893062362126491,-0.08384892120291397,-0.98664721123947285,336.49266225232134,5.2747345795700085,-3.138978640106421
1433107126391,0.20499999999999999,-0.052182492255516098,-0.077244123632917092,-1.0065226499170774,336.55937363424766,5.1867332292900397,-2.9973989660050449
1433107126442,0.25600000000000001,-0.0524570555314227,-0.086869131581175207,-0.98882845339455949,336.43867989180904,5.3338677612356165,-2.894536546393554
1433107126493,0.307,-0.040254193304997091,-0.093779001183972546,-1.0045701611632192,336.37765104921436,5.5050188428623876,-2.7961866049357007
1433107126545,0.35899999999999999,-0.046920007923279446,-0.096966996501976224,-1.0065989140848839,336.43403504149262,5.6827228183267966,-2.7445174242172614
1433107126595,0.40899999999999997,-0.040147416394433644,-0.11193075804170846,-0.95647562764765393,336.47531459873761,5.7606090838510768,-2.7982152814894161
1433107126646,0.46000000000000002,-0.031376608834610478,-0.1088800423687265,-0.96205841498510203,336.72311170421182,5.7022393759578733,-2.9217843115464102
1433107126697,0.51100000000000001,-0.043472697408988528,-0.1261623429321512,-0.93794252248625221,336.94339175730295,5.4441327870209069,-3.279652912241771
1433107126748,0.56200000000000006,-0.060007576007424096,-0.11222057789265083,-0.96338552657709409,337.04916375385687,4.893671147790724,-3.5133944073252361
1433107126801,0.61499999999999999,-0.075367932563028636,-0.075871302511079736,-1.0093902919265307,337.13517340101583,4.4925102462278952,-3.5988012102528111
1433107126852,0.66600000000000004,-0.081820196211385504,-0.069419036535211531,-1.0338722693751339,337.1146144923182,4.3413207345942775,-3.4666537850974448
1433107126903,0.71699999999999997,-0.052716365898123903,-0.059183885917859294,-1.0131579136796045,337.10644842982919,4.3555290818194869,-3.3229908279748219
1433107126954,0.76800000000000002,-0.045745479654355554,-0.086411517713196134,-0.98448117983654204,337.11112237234238,4.4327758543520037,-3.1688979067169889
1433107127006,0.81999999999999995,-0.0029286870460626911,-0.098461846483483995,-0.99238255577367429,337.13330755519013,4.4493228807480856,-3.1716089428811456
1433107127057,0.871,0.03250537177160473,-0.10346502204918349,-0.98576252603841696,337.43837255250673,4.0943910075927832,-3.1727339285129958
1433107127108,0.92200000000000004,0.065575140838783741,-0.098644891285871977,-1.0101224869631598,337.92086913307838,3.680553445488612,-3.4594826763897126
1433107127159,0.97299999999999998,0.12112867324378541,-0.10489885841548503,-1.0145002453337981,338.96300160196068,3.1908183707074507,-3.8934631028792688
