t,tRel,x,y,z,alpha,beta,gamma
1433108011589,0.0,0.038759341926982521,-0.10090242321138999,-0.96304992737096629,335.40478448857186,5.9641519902141944,2.3672950610132206
1433108011640,0.050999999999999997,0.038500032491285863,-0.10467005107418101,-0.96887679803037996,335.47396557595562,5.9574077656515874,2.3103316293585499
1433108011691,0.10199999999999999,0.032246065594423959,-0.10715638894449622,-0.9885233939303204,335.47235948660892,5.9237090887586294,2.2274384382059815
1433108011742,0.153,0.042923568587851776,-0.10251929896861564,-0.98504557340809829,335.47022359145075,5.8633837250979122,2.2011668213476177
1433108011793,0.20399999999999999,0.034610370706487252,-0.099880428107664926,-0.99010978120909476,335.46580046168918,5.8424309962197079,2.1971880930436352
1433108011844,0.255,0.043411684026533427,-0.10463955014354404,-0.98698281184210745,335.45072391785033,5.824894709639028,2.1878360807882729
1433108011895,0.30599999999999999,0.043655742211376525,-0.098599134042044276,-0.98937757290565087,335.49854912713499,5.8282528173556409,2.2216900188919362
1433108011947,0.35799999999999998,0.037081448655969143,-0.10752247668726313,-0.98086608269506292,335.47041104838991,5.8275255356368838,2.1623396157792425
1433108011997,0.40799999999999997,0.041489732221550245,-0.10023126393041877,-0.99073517978406522,335.47269275210886,5.7274373409293853,2.1504531332828343
1433108012048,0.45900000000000002,0.041489732221550245,-0.10023126393041877,-0.99073517978406522,335.47269275210886,5.7274373409293853,2.1504531332828343
1433108012099,0.51000000000000001,0.024924345186253614,-0.099895680987776431,-0.99892634647824796,335.51987850626739,5.7714902243175548,2.2007774029492104
1433108012150,0.56100000000000005,0.058970333958741475,-0.099224524005222664,-0.9973552125450873,335.53648378732987,5.7988469808095822,2.2531522940359423
1433108012202,0.61299999999999999,0.058116133570306518,-0.092924796606017185,-1.0142714137281883,335.64430320852983,5.9682478236406116,2.3765015045982554
1433108012256,0.66700000000000004,0.059549969936608049,-0.10726316425853236,-0.98115593047614158,335.7996492846641,6.1607075106925615,2.4429110400182519
1433108012306,0.71699999999999997,0.051511335069305095,-0.11728476684080545,-0.92718875346300877,336.02558455934246,6.3649740375822388,2.4287334036765094
1433108012357,0.76800000000000002,0.054821358781476918,-0.11833726281697969,-0.85352920119475018,336.33283365629376,6.612597638187367,2.2232219316003041
1433108012408,0.81899999999999995,0.072225693557848136,-0.12364549877792291,-0.8514242520686105,336.61626506823416,7.9592197560359175,1.8956586218146796
1433108012459,0.87,0.056514507143737583,-0.09766866227051775,-0.58370868329000514,335.8646407777598,8.0261583551043891,0.16564808604146572
1433108012510,0.92100000000000004,0.20886724203367879,-0.010952069266005272,-0.68165190997109126,336.53825493317123,7.3722277309331989,-0.55080212207066281
1433108012562,0.97299999999999998,0.097012760262835715,0.04643188509474927,-0.74718128262674399,337.69617755292603,5.4009273904635053,-1.4515032845506775
1433108012613,1.024,0.18536148056636631,0.069739360284367821,-0.74617451666251466,339.51964261585681,3.5550581541914186,-3.173617643428182
1433108012664,1.075,0.038271224393540651,0.096570404046366409,-0.91745700025834154,342.44558439142043,-0.071395525472540911,-3.463587395833974
1433108012715,1.1259999999999999,-0.038683072871402296,0.039994882472793626,-0.98672348006230193,345.08319686878718,-3.7797009252668268,-2.7970247199455107
1433108012766,1.177,-0.054546798094926692,0.16257263635120009,-1.0448243460891755,347.80827634679105,-8.1324322770953898,-2.1121480242918298
