t,tRel,x,y,z,alpha,beta,gamma
1438095690094,0.0,-0.028417416493827046,-0.075200143201014633,-0.99123855694740148,345.05283718490671,2.9951916703391266,-0.95993351864594278
1438095690145,0.050999999999999997,-0.015894227899794874,-0.055477264978679393,-1.0027550090784108,345.07743454410297,3.0378787047053804,-0.92761099131372038
1438095690196,0.10199999999999999,-0.01621455301636409,-0.049284310766019176,-0.9906894337122919,344.8650987248663,3.1840271748952618,-0.94434657067994265
1438095690247,0.153,0.00085420038843495147,-0.056438241113922115,-0.98966741789371582,344.78387955733291,3.1851181567962086,-0.72473062691812817
1438095690298,0.20399999999999999,0.0091368925095764598,-0.054287486098967559,-0.97761708726141883,344.72901272884013,3.323618316866725,-0.70660960454286426
1438095690349,0.255,-0.010921561992899884,-0.077762742504310409,-1.0095580784955311,344.705613278199,3.4700744620619992,-0.73787299775810011
1438095690401,0.307,0.0048963995861406005,-0.057200920264918742,-0.97253764566590395,344.74502477570348,3.5073023234509266,-0.73700466931986763
1438095690452,0.35799999999999998,-0.010753772790902281,-0.073766304972704033,-1.004036304540538,344.73757540904768,3.5445089819796656,-0.60989407952843766
1438095690503,0.40899999999999997,0.031452880450453184,-0.064034522906896083,-0.95031320060832114,344.82305610628532,3.392405859610403,-0.60224462415565228
1438095690554,0.46000000000000002,0.21922444315655698,-0.0034015479753748959,-0.96945645449034656,345.31653968178341,3.2521771275419598,-2.3464929102238683
1438095690607,0.51300000000000001,0.21922444315655698,-0.0034015479753748959,-0.96945645449034656,345.31653968178341,3.2521771275419598,-2.3464929102238683
1438095690658,0.56399999999999995,0.70140527905757688,-0.024222686167494994,-1.0325452304014957,347.87211989139826,3.7258159167780134,-1.5869626692656256
1438095690710,0.61599999999999999,0.70886429563609954,0.015314592678369487,-1.0541900394812118,351.82010573002754,4.2116459861050597,-0.72407567516516536
1438095690761,0.66700000000000004,0.26586988114142862,0.0099453330939212204,-1.0118766261310155,355.76515281866409,4.5716577538280463,0.76355918813452017
1438095690812,0.71799999999999997,-0.0015558649932208045,0.12173881637838181,-1.0080327066939718,358.49091930103111,4.2910199745060424,2.4754274623126631
1438095690863,0.76900000000000002,-0.045730227937999725,0.057063636663127741,-0.95440113354198985,2.0896606769339146,4.6074643291843529,3.0224134760609389
1438095690915,0.82099999999999995,-0.4423080192953272,0.0077030570742794725,-0.94668280426925466,6.2619670573833126,4.3633032317325284,1.8486621105297851
1438095690966,0.872,-0.4423080192953272,0.0077030570742794725,-0.94668280426925466,6.2619670573833126,4.3633032317325284,1.8486621105297851
1438095691017,0.92300000000000004,-0.46343421788269096,-0.037844127923341332,-1.0351993716570806,9.4522408312039889,4.1224412917212296,2.5581835852678925
1438095691068,0.97399999999999998,-0.38388679926164987,-0.05968725214189223,-1.061847365612542,9.4110265089329879,4.0522529554027118,3.7011572349545356
1438095691119,1.0249999999999999,-0.20801306305834819,-0.081850699644097163,-1.0089632075593904,8.8542433687967357,4.3776550847878024,4.7212535371250901
1438095691170,1.0760000000000001,-0.051145240809506415,-0.07873896872665101,-0.95957211895180305,8.5888733649790456,4.7460235095440391,5.140475428837374
1438095691221,1.127,-0.0078098321228338421,-0.077976291670414602,-0.97467313546493684,8.2994079164916794,4.9177946386572957,5.5253152226907662
1438095691273,1.179,0.10079564630082655,-0.050352058458549252,-0.89527826007558109,8.138676725104153,5.0494976323307839,5.4259480420635438
1438095691324,1.23,0.14515305172048212,-0.057216170584767766,-0.99900258830194533,8.151263998222305,4.8103243478829301,5.2666647859124813
1438095691375,1.2809999999999999,0.069525812049268165,-0.086014930727237982,-0.98650992112064995,8.178234602452406,4.7125891769891517,4.9502380021386152
1438095691426,1.3320000000000001,0.066734403484471502,-0.081332076815934559,-1.0292504500266388,8.3393796306110737,4.7115649030859208,4.7109102591760843
1438095691478,1.3839999999999999,0.10517341910203525,-0.097165295115480277,-0.99396894596183794,8.7816157417731784,4.923702209057228,4.5279869606238998
1438095691529,1.4350000000000001,0.038042424442085158,-0.093306140254660344,-0.99375537980490092,9.4687747811180554,4.9878953768524452,4.340339728861232
1438095691579,1.4850000000000001,0.051084232082074008,-0.10303792092396148,-0.98162878302641288,9.9066689609472967,5.2713903857487443,3.8958655841441776
1438095691630,1.536,0.019539833885449515,-0.095761965905908561,-0.99694339129910847,10.477672028562028,5.6180321333151193,3.080303627415506
1438095691682,1.5880000000000001,0.073171413554463466,-0.10370908256153794,-0.99082669101320464,10.558168959680948,5.7451739301304805,3.0727797523370959
1438095691733,1.639,0.030690197808189539,-0.1029311470391628,-0.96469732128241281,10.526889140545807,5.6944472988086074,3.0734465938580788
1438095691784,1.6899999999999999,0.077655969317765111,-0.080416863277795639,-1.0012143748539435,10.550479472754947,5.8281789106245121,3.0512435728762917
1438095691835,1.7410000000000001,0.025320941947759426,-0.10892580589683484,-0.97996616439774209,10.440749034419319,5.780790672918207,2.9982113495313483
1438095691886,1.792,0.071005407288655342,-0.10331248510177873,-0.97310201689335118,10.428021565078227,5.7915872608261703,2.9121934286456272
1438095691937,1.843,0.051923182150659927,-0.10366331856792732,-0.97987463547951636,10.572703969028051,5.798612510126671,2.8857275295066485
1438095691989,1.895,0.041138901315664132,-0.10834616479844331,-0.97715949480654429,10.598383289297365,5.797467001088453,2.7499014334729117
1438095692040,1.946,0.051801153989242919,-0.09692123716338831,-0.99796535521418139,10.610112425863399,5.7526776587482926,2.6902920244708204
1438095692091,1.9970000000000001,0.04899449207883249,-0.10315995257664552,-1.0074226054545798,10.653959297981153,5.7726586604889949,2.6112270901811403
1438095692142,2.048,0.04899449207883249,-0.10315995257664552,-1.0074226054545798,10.653959297981153,5.7726586604889949,2.6112270901811403
