t,tRel,x,y,z,alpha,beta,gamma
1431205489310,0.0,0.076786516514720932,0.085557321979783871,-0.98928607424507276,357.91261114722363,-4.6600593876875127,4.5762299133991924
1431205489359,0.049000000000000002,0.09872116290171469,0.087860610450876175,-0.98086612459026734,358.01983108149057,-4.6912063608020862,4.5815677689961447
1431205489410,0.10000000000000001,0.072423986352573799,0.05555352868098351,-0.9967298183923885,358.00779418599865,-4.5627799046890649,4.8127324778489946
1431205489461,0.151,0.086655575432536963,0.070303745476883103,-0.96024327639985929,357.9934349282974,-4.5238489789455594,4.5995384636023804
1431205489512,0.20200000000000001,0.06931226009015036,0.073415474997822444,-0.98564044341323431,358.11664371163073,-4.3421332485463013,4.5866128454853161
1431205489563,0.253,0.059900805963019131,0.068824148840989127,-0.97709844325290307,358.09872034642643,-4.2970642341655712,4.3661113682887853
1431205489614,0.30399999999999999,0.050763908798419972,0.052258759478181142,-1.0003144109374003,357.93392025907832,-4.1144998945156681,4.289409858251191
1431205489665,0.35499999999999998,0.088241949909998924,0.059199139496224198,-0.98734887072373367,357.94956253884749,-4.0530209890638229,4.326439504878465
1431205489732,0.42199999999999999,0.080935490062727544,0.068229254629734934,-0.98643363274672569,357.94212530246847,-4.0763148192290926,4.4621265106583836
1431205489782,0.47199999999999998,0.071630806794630256,0.067832660661242744,-1.0093292748200573,358.19295868320813,-4.2448795782917044,4.6941109802867382
1431205489834,0.52400000000000002,0.07974570582973961,0.087464016482383986,-0.98168979082284069,358.06111868897085,-3.9872546349587745,5.2887705616917744
1431205489886,0.57599999999999996,0.10195491965306649,0.08529801207858495,-0.96562777466659988,357.80146415633959,-3.2761175183587889,5.4403105441855812
1431205489944,0.63400000000000001,0.10473106812246649,0.063775211143688074,-0.90134916936874265,357.61672483104167,-2.8419743297375866,5.5041353916652236
1431205489995,0.68500000000000005,0.10090242041837637,0.051389307373390355,-0.86991158904688126,357.27006235777793,-2.291134658784054,5.5904465492863578
1431205490050,0.73999999999999999,0.10046006897330534,0.028844517619049062,-0.74504581144780191,356.8564087843701,-1.8026579009384953,5.9469942163658915
1431205490101,0.79100000000000004,0.14535134823922594,0.040772814969404027,-0.74710504452706472,356.60786987290027,-1.3018855261467817,6.5903272200018073
1431205490152,0.84199999999999997,0.088974126326537298,0.004652341517673071,-0.75464026755111224,355.93378270055615,-0.16331538878104196,6.8626714037849474
1431205490203,0.89300000000000002,0.1050818995956835,-0.0012202862691927877,-0.82698797483980702,355.13972073025627,2.0451827700885321,6.0443511793600679
1431205490254,0.94399999999999995,0.11037489491049673,-0.0054760355640071741,-0.65730719890069522,355.45692430774648,1.1801787344733128,5.6078023258925125
1431205490305,0.995,0.014170574301001248,-0.036700110476977632,-0.88206869845175073,355.0791724182377,-0.82510125136041501,5.1660724548739791
1431205490356,1.046,0.073659530127806905,0.016794189779765743,-0.96822091091877049,355.08406790877029,-3.5185662694167075,4.215718261194489
