t,tRel,x,y,z,alpha,beta,gamma
1433107817581,0.0,0.0045455663527431351,0.34810192210665752,-0.94631677657628044,1.811630116192168,-19.821781668449606,0.63808160227283917
1433107817629,0.048000000000000001,0.0041032130456630182,0.33714983561706835,-0.93133773701931433,1.9139071537142751,-19.825353009801596,0.57278676611412316
1433107817681,0.10000000000000001,0.01038768675012804,0.33516689230823671,-0.9378204815235226,1.9566172816701701,-19.929957541098549,0.58375464006355759
1433107817731,0.14999999999999999,-0.0053234988493535374,0.33898027968417899,-0.94311349998252691,1.9937498530800153,-20.008609994743303,0.58534211178541418
1433107817782,0.20100000000000001,0.0020592330792628295,0.34393767636019529,-0.94829972267812568,2.0276394388997909,-19.9618950411508,0.45532345612545128
1433107817834,0.253,-0.021949898801603002,0.33416015055012543,-0.95793998979077599,1.8711949682355766,-19.705047175515162,0.22490621493318058
1433107817885,0.30399999999999999,-0.0080996499226568333,0.32714349612322607,-0.92473296086242174,1.6069643398107298,-19.608363572411172,-0.0069776784252525443
1433107817936,0.35499999999999998,0.015040028151425543,0.3335957490650307,-0.94717096765467013,1.5087731056651723,-19.575281026800326,0.071387694238574953
1433107817986,0.40500000000000003,0.01412481356590652,0.32985862003811645,-0.93891874405357001,1.424304472513878,-19.596787275206381,0.16254863032678643
1433107818038,0.45700000000000002,0.0020744866576277391,0.33234495377709905,-0.94627096789445198,1.6734080978690284,-19.679960673780066,0.32772862178383361
1433107818089,0.50800000000000001,-0.00077793249661040227,0.33178058813567907,-0.94643879123813157,1.7042338452798671,-19.673050471511388,0.29067781426996303
1433107818139,0.55800000000000005,-0.0046675952124135486,0.33007219294483642,-0.93969672403141191,1.6746983251048733,-19.539382232713969,0.23077903641322975
1433107818204,0.623,0.01214184837846824,0.33724137058682357,-0.93856792711275194,1.7943620660741868,-19.372439415625575,0.30414714777268148
1433107818255,0.67400000000000004,0.00019829651874382802,0.32607574098265962,-0.93759173021705433,1.8505494288962157,-19.416634212134763,0.38444942282256628
1433107818307,0.72599999999999998,0.0014948506797611651,0.33228395470156524,-0.92695993861548076,1.8344252455870271,-19.419460012801348,0.41861416993989675
1433107818358,0.77700000000000002,0.01067750462268576,0.33765321254765346,-0.93260379147163808,1.9206807227279561,-19.436579760839741,0.48779375714301842
1433107818409,0.82799999999999996,-0.0081911715819565894,0.32230811643657231,-0.93088015387448486,1.9168268012587442,-19.529250771076136,0.43666390791964504
1433107818460,0.879,0.0068488566276567386,0.33554821803504248,-0.95058776594989403,1.9064074858369586,-19.375900547455473,0.3991774885846201
1433107818511,0.93000000000000005,0.004194734283101343,0.33097213026456201,-0.93882721280783299,1.9352524971934151,-19.334287890095215,0.460228365046079
1433107818562,0.98099999999999998,0.0026083619003995843,0.32137765653535366,-0.93958993967281224,1.8439764846925819,-19.195454434742022,0.40730940408025684
1433107818613,1.032,0.0041184661585256591,0.32920274084004564,-0.9436778839530986,1.7774862535425711,-19.112367455859044,0.58480433207251747
1433107818664,1.083,0.013575684744769764,0.32779940639357341,-0.92578541121937352,1.7959164042606104,-19.119658021730682,0.73271896049803475
1433107818716,1.135,0.012965541842924505,0.3258316867545859,-0.95812303552416844,1.818429797830948,-18.863563999907296,0.86240962553416811
1433107818767,1.1859999999999999,0.0052624840703916287,0.32747908229529038,-0.91335375788603557,1.8327984210985255,-18.695453486610255,0.77641536080233298
1433107818818,1.2370000000000001,0.0035540837590239947,0.31573383032920121,-0.95664340863062691,1.7574574298263113,-18.518766994001499,0.66144065845099298
1433107818870,1.2889999999999999,0.00921316168153225,0.31570332023398834,-0.92920222580717682,1.8783602169651852,-18.43104239591284,0.66689809630632446
1433107818921,1.3400000000000001,0.0089996112352968109,0.30790873939110197,-0.93469352798361249,2.0588814931013544,-18.474082854964397,0.70550221080299569
1433107818972,1.391,0.005613317071037959,0.31015101075572099,-0.93707310482862927,2.0491897822995777,-18.36681915224656,0.46277914879766802
1433107819023,1.4419999999999999,0.0049574128522201335,0.31686259373169773,-0.96164658419632654,1.9983483151008388,-18.37129512669247,0.40294752013897278
1433107819074,1.4930000000000001,0.01618404617966708,0.31114248171188341,-0.92933949497839752,2.0871340899731576,-18.44020690729166,0.45385382618347675
1433107819128,1.5469999999999999,0.00099148259371914017,0.31306443398236883,-0.95806200445262713,2.055204130830127,-18.442129210064028,0.41006329134875558
1433107819180,1.599,0.01108935147128946,0.32291826422619141,-0.94517273376004307,2.1459591237480589,-18.386297901425852,0.4345364977943752
1433107819231,1.6499999999999999,-0.00021355009710873787,0.3188607932955323,-0.95923651602165716,2.1701964148216666,-18.325732739064293,0.38873612658481688
1433107819282,1.7010000000000001,-0.0040574513795637503,0.31083741072646304,-0.94450155792464741,2.1208165609169449,-18.202102195824992,0.29746287911797514
1433107819334,1.7529999999999999,0.0019219506412275062,0.30752739015643155,-0.93882723282443048,2.0997524062486734,-18.147416306749797,0.3054916528473578
1433107819385,1.804,-0.0016168793066804437,0.31115773046066225,-0.94395246075766492,2.0434305190746778,-18.122430669115495,0.32229089511361386
1433107819437,1.8560000000000001,0.014323109619148079,0.31221025646173289,-0.92546509538375588,2.0592007809848267,-18.159913325805213,0.36327979460265358
1433107819488,1.907,0.006711574538748117,0.30967814121461679,-0.95810777449776718,2.0931648735975394,-18.192419219638634,0.45774753773632304
1433107819539,1.958,0.0066353065014541088,0.30833583842156376,-0.95632311420811367,2.0826812347793022,-18.097595812322002,0.38109412808396986
1433107819590,2.0089999999999999,0.005613316663723473,0.29944299781254974,-0.94514222450855312,2.1007078111232773,-18.14736751298949,0.37486947519289815
1433107819642,2.0609999999999999,-0.0015711185715857143,0.30604780422708977,-0.95429438176854886,2.0451449652865636,-18.129082515375,0.30655074426696033
