t,tRel,x,y,z,alpha,beta,gamma
1433107513716,0.0,-0.0049726665469606102,-0.19908969737076704,-1.0060497331274927,335.63695802878146,10.798918167015019,1.5355634552513506
1433107513766,0.050000000000000003,0.0020897402359926491,-0.21460258656788034,-0.98085082664371737,335.32296651129252,10.922498212037723,1.703570143468595
1433107513817,0.10100000000000001,0.035220511513572299,-0.20244548833506534,-0.9867692529004557,334.87336458106648,11.208210625497179,1.72448568897081
1433107513868,0.152,0.056850084704009922,-0.24745879808991431,-0.94512694672407005,334.11085383491383,11.764327037695002,1.2237416958140193
1433107513919,0.20300000000000001,0.058405949697230723,-0.20207940827308588,-0.96475830952774533,333.71149539783323,11.745035720325236,1.2758184420947896
1433107513970,0.254,0.036501812096224731,-0.17730759677572114,-0.99219953331539534,333.70250068191967,11.572521516320991,1.5378311137971681
1433107514021,0.30499999999999999,0.029286870460626911,-0.18726817599997098,-1.0107478520219668,333.63792692020985,11.598890063906611,1.8289847932562016
1433107514072,0.35599999999999998,0.059122871604399649,-0.19056295637482779,-0.99819415888965513,333.83928468229635,11.708610760544268,2.0689069665586048
1433107514123,0.40699999999999997,0.033603634068900934,-0.20252175250287174,-0.96742771460274535,333.98563158045829,11.818058534243489,2.193227903856668
1433107514175,0.45900000000000002,0.058955080380376557,-0.18470558228270242,-0.95098433385025916,334.31268962122584,11.859793747968087,2.091688593343485
1433107514226,0.51000000000000001,0.048765690032616785,-0.18331750292747748,-0.95196054238351335,334.81878024807878,11.928088457689379,1.921925888822333
1433107514278,0.56200000000000006,0.047545403763423991,-0.17752114314881173,-0.90992168785785832,335.37250917882596,11.74327445635423,1.7430969713832745
1433107514336,0.62,0.076984810007699994,-0.14828003156127048,-0.89148010416664603,336.02930731479717,11.459543668504324,1.5357930678382312
1433107514387,0.67100000000000004,0.14497000226307144,-0.10614964439337132,-0.81719523711382547,336.91691914324878,10.943432602257044,0.72596941102757939
1433107514439,0.72299999999999998,0.19196628186038137,-0.059794019742410297,-0.73607666268101701,338.75474243373202,9.7629665275237638,-0.97731358365506549
1433107514490,0.77400000000000002,0.090545233726068541,0.019082226534502218,-0.7885947776796195,345.10588608796365,4.1514539093680281,-4.5098093986738927
1433107514541,0.82499999999999996,0.090545233726068541,0.019082226534502218,-0.7885947776796195,345.10588608796365,4.1514539093680281,-4.5098093986738927
1433107514592,0.876,-0.079654182497541068,0.1304180950199792,-0.9653836932066433,352.53809832646374,-2.4012113206454919,-7.88522014657475
1433107514643,0.92700000000000005,-0.1630607462038545,0.15973547263733592,-1.0902799984445521,356.79093831082992,-5.7682428837782549,-8.5489563803729016
1433107514695,0.97899999999999998,-0.1630607462038545,0.15973547263733592,-1.0902799984445521,356.79093831082992,-5.7682428837782549,-8.5489563803729016
1433107514745,1.0289999999999999,-0.37108905446152679,0.18693260309472132,-1.154406034442597,4.7163731272528908,-10.709386965716341,-9.8428981630434489
1433107514796,1.0800000000000001,-0.48414856240616588,0.16313701688869267,-1.1361475011397999,7.8172912077800234,-12.303024409250215,-9.9031277245108207
1433107514847,1.131,-0.49668703361426708,0.14126338923743009,-1.1360255320971711,9.6106807154757856,-13.104703131186392,-9.7999221450143299
1433107514899,1.1830000000000001,-0.41399737040201823,0.15314592678369487,-1.0976017086116727,10.303652395546814,-13.092884085298259,-9.4897948311891334
1433107514950,1.234,-0.30525461023857586,0.16483016781121582,-1.0117088609751195,10.389966700948538,-12.737920323329604,-9.113783358790263
1433107515012,1.296,-0.2003862552558025,0.19115784965507743,-0.95311982830431474,10.126284401170127,-12.495142192638603,-8.9008389187898835
1433107515063,1.347,-0.16354886164253615,0.22573771087732353,-0.93759167901180474,10.085654126489853,-12.50133628855964,-8.7979040363153214
1433107515115,1.399,-0.16348785477711283,0.22942907125560447,-0.94997758278210243,10.09513756072349,-12.643249692809061,-8.6341770287730757
1433107515166,1.45,-0.15869822744651299,0.21875157058968803,-0.93711881435847444,10.019410661034978,-12.931571411390454,-8.7313707452292739
1433107515217,1.5009999999999999,-0.16373191296195594,0.22352593270436621,-0.95231140447805152,9.9266048689122979,-13.197543543421245,-8.8184360043596435
1433107515268,1.552,-0.14776140896585899,0.2304815659952883,-0.96407190548385857,9.8852688754786477,-13.340470500827724,-8.871040845536097
1433107515320,1.6040000000000001,-0.16028460052746815,0.21809567090951731,-0.95829080207657136,9.8713842463503632,-13.373551182962633,-8.8371747272744532
1433107515371,1.655,-0.14808173504252664,0.21570085724421742,-0.96787005766877554,9.8196912835637455,-13.347761689581501,-8.7901560978871682
1433107515422,1.706,-0.14919524463390713,0.23237301001802302,-0.97819674558339431,9.8750205595634402,-13.309587952117356,-8.6871335434355537
1433107515473,1.7569999999999999,-0.13421624068786445,0.23801684425408956,-0.98054577989350888,10.046828174080433,-13.155343119057598,-8.5863736601844707
1433107515524,1.8080000000000001,-0.14590048055162971,0.23694908166548689,-0.96436172812781451,10.215513088188803,-12.94615141034383,-8.715440568316005
1433107515576,1.8600000000000001,-0.14904270739556341,0.22230565818910575,-0.95707053628947836,10.222616609149538,-12.755284915317521,-8.8194846081254479
1433107515627,1.911,-0.15473230265766363,0.21405346845329576,-0.95832132459487596,10.280384167499895,-12.717761414509694,-8.7070610791994731
1433107515678,1.962,-0.15162056382667893,0.21167390650435167,-0.94706419772664063,10.243789081914915,-12.644190294829896,-8.6395656348384282
1433107515729,2.0129999999999999,-0.13984480505298669,0.20729612904812031,-0.93595959081497726,10.311221223603852,-12.703669715090554,-8.506056291078842
1433107515780,2.0640000000000001,-0.12463699626771468,0.20445896067923347,-0.93049878369221239,10.537358327053425,-12.924038436933724,-8.3764166873739736
