t,tRel,x,y,z,alpha,beta,gamma
1433109640871,0.0,-0.20866894580587386,-0.031407116922344838,-0.93791200043344969,305.85316432777108,1.7612078449683914,-12.101770058222737
1433109640920,0.049000000000000002,-0.20419964631212212,-0.023688807666207266,-0.96877001646479377,305.77469587671254,1.6739672223041642,-11.77866319918569
1433109640970,0.099000000000000005,-0.18562078953656069,-0.031971500252851039,-0.97554262923218082,305.8007046511018,1.6756377284888075,-11.648973626414648
1433109641022,0.151,-0.20599957674911201,-0.030568171974283877,-0.97078351394608453,305.91874694883904,1.60342453144887,-11.558451700211204
1433109641073,0.20200000000000001,-0.21017906373812911,-0.030369874884572417,-0.98948435167822335,305.93643214465283,1.7441819623069976,-11.621556741513736
1433109641124,0.253,-0.20471827430445053,-0.026449704884753674,-0.974246079493435,305.93101084545356,1.7902931681151297,-11.56402015728108
1433109641175,0.30399999999999999,-0.20241498979012751,-0.035647611475038636,-0.9832456823496909,305.92473894648884,1.8961202263837005,-11.549341274925634
1433109641226,0.35499999999999998,-0.19225610171132371,-0.040711799724939844,-0.96106695287348254,305.9156045229131,1.945039260454156,-11.556238053523115
1433109641276,0.40500000000000003,-0.1971830121782123,-0.035937431791483274,-0.97624427486774912,305.96309492574949,1.8789377528500237,-11.782841632623757
1433109641328,0.45700000000000002,-0.19047143118062021,-0.032261318241784326,-0.97542059385547852,306.03570165016106,1.6982603639673968,-11.864158780655561
1433109641379,0.50800000000000001,-0.16481491050883273,-0.036913659643081832,-0.97031065348227463,306.15506144229863,1.3636010485720298,-12.092948374816586
1433109641430,0.55900000000000005,-0.14077526728171666,-0.053158720601710827,-1.0714876271391649,307.02876105942528,0.55663546761824667,-12.130376123236788
1433109641482,0.61099999999999999,-0.14077526728171666,-0.053158720601710827,-1.0714876271391649,307.02876105942528,0.55663546761824667,-12.130376123236788
1433109641533,0.66200000000000003,-0.12257776318845186,-0.094129834184618885,-1.2757329967570898,309.72053197959082,0.22140296006614521,-12.409666190096184
1433109641584,0.71299999999999997,-0.11917620776504063,-0.095243339586478931,-1.2597167394739344,311.89674296448908,0.81580040402841947,-12.343289604708147
1433109641635,0.76400000000000001,-0.13787709484042013,-0.070227474792044942,-1.2538899023306842,314.12193543846467,2.1782172409723302,-12.449015893712685
1433109641687,0.81599999999999995,-0.20398610719795754,-0.04868942400280131,-1.1724815694932331,315.97947742615571,4.5441007369468025,-12.877802103356634
1433109641738,0.86699999999999999,-0.16040663753342826,-0.04405233431785964,-0.97970683401444336,317.51690103388444,6.9269870034945393,-13.058808466367941
1433109641789,0.91800000000000004,-0.1802210246573917,-0.068244517052642964,-0.80676177461615439,319.38891758636288,7.9972349807147971,-13.062492829491072
1433109641840,0.96899999999999997,-0.26083618631594024,-0.075825538051966859,-0.85020395835138141,321.2963954642517,9.0279302072739007,-12.469894924820125
1433109641891,1.02,-0.30613931778374065,-0.068656356220459222,-0.85153101222109229,322.70890724349317,10.442527324611811,-12.271632244131204
1433109641942,1.071,-0.30734435047456854,-0.086304746388659925,-0.82105437754407495,323.41970199818917,11.915026573604916,-11.94526019137137
1433109641993,1.1220000000000001,-0.28562325488293688,-0.10181763558577324,-0.82337290655946871,323.85664610031273,13.506806319640026,-12.100359209951637
1433109642044,1.173,-0.24533855069719182,-0.12860292664259124,-0.79115733415670642,324.75860488990514,14.661507096337196,-11.844826488254732
1433109642095,1.224,-0.27666941183077115,-0.20108791613657021,-0.79524532295064754,325.38077545269476,15.353917449314674,-11.306107580986509
1433109642147,1.276,-0.24329457492031209,-0.19268320935357752,-0.85220214732503929,325.98862376742971,15.952606692255101,-11.078084324247852
1433109642198,1.327,-0.24131160600885565,-0.23064935845580181,-0.84512448696372122,326.41318498666868,16.324426124389962,-10.82335491795757
1433109642249,1.3779999999999999,-0.20844015021850218,-0.26252933910047249,-0.89291394425696557,326.82783067630805,16.61401451518438,-10.912566322521219
1433109642301,1.4299999999999999,-0.18708513305959204,-0.25566523442229028,-0.89427156486769677,327.32702274295127,16.743389133101804,-10.825982624187876
1433109642352,1.4810000000000001,-0.22107011496665657,-0.27848458579418633,-0.93699683530754674,327.65885515826807,16.971374757261835,-10.887786392495689
1433109642403,1.532,-0.19876938712117653,-0.28835364773776712,-0.91895184349006631,327.97348788438819,17.152711412161626,-10.971853154545364
1433109642454,1.583,-0.20615210601572936,-0.30029721170055051,-0.92886663311808082,328.21121755268462,17.399569800372426,-11.118271235435724
