t,tRel,x,y,z,alpha,beta,gamma
1433106572329,0.0,-0.013957024320268078,-0.036532322045968166,-1.0012753912621635,349.49811170298443,2.3834140841073057,-0.75833758375568427
1433106572376,0.047,-0.0049726665469606102,-0.038362751449757343,-0.96436174628240301,349.5345390849352,2.5395620742429879,-0.68554694699781171
1433106572427,0.098000000000000004,-0.0082216785059352725,-0.048735184272393775,-0.97525278075284882,349.5892532694366,2.5064838636147502,-0.66672373579008404
1433106572479,0.14999999999999999,-0.015421367261421588,-0.047789459620755745,-0.99827045820288285,349.58446793324521,2.5432685107177839,-0.65366756858257191
1433106572530,0.20100000000000001,-0.011684240969333159,-0.044662479249003857,-0.99467058228736094,349.57502857974686,2.5620881639198307,-0.61636076210619939
1433106572581,0.252,-0.0053692600499505357,-0.043426937299412473,-0.98426763532546058,349.68662559058725,2.5011517578572247,-0.48472847873127639
1433106572664,0.33500000000000002,-0.0053692600499505357,-0.043426937299412473,-0.98426763532546058,349.68662559058725,2.5011517578572247,-0.48472847873127639
1433106572715,0.38600000000000001,0.0018609360950167318,-0.041276183055446045,-0.98867594647205104,349.91411527050462,2.5508822231130264,-0.3453674473988036
1433106572765,0.436,-0.0076420427608198333,-0.047026783495523874,-0.95737561111529246,349.96805348189474,2.4259697179821385,-0.27259372113407776
1433106572816,0.48699999999999999,0.0030812228297117895,-0.035342542002500657,-1.0002991412992071,350.02232013746624,2.3017054539570507,-0.16052812342555484
1433106572867,0.53800000000000003,-0.0094877259757250604,-0.036425543578881503,-1.0065836363004008,350.11925012188414,2.0986639640356124,-0.13943201241139533
1433106572919,0.58999999999999997,-0.01023515096647894,-0.040910095778181402,-1.0017482617342721,350.13619207014318,1.9672729665106901,-0.067534675125599172
1433106572970,0.64100000000000001,-0.0048963986260421692,-0.030552915835656485,-1.0000398481560897,350.18534184162422,1.8734118867125193,0.012917938339972047
1433106573022,0.69299999999999995,-0.0079471144008527606,-0.028707233784506927,-0.97795265481339244,350.20369708126208,1.7337611860461266,-0.009653426282397003
1433106573073,0.74399999999999999,-0.006131938502693759,-0.036410291557039808,-0.96230250203108569,350.14420302958894,1.1987280365473358,-0.18907174800737986
1433106573124,0.79500000000000004,0.0022422759905478557,-0.017922954113266804,-0.98501506904438196,350.06873056516406,0.65378257900017844,-0.025525693519105743
1433106573175,0.84599999999999997,-0.0026998832542134755,-0.012996048301400921,-1.0079412168779369,350.03492907319674,0.054118558430559356,0.058399464530698553
1433106573226,0.89700000000000002,0.0072759568073272676,-0.028646221100305232,-1.0846361893456082,349.99207147538334,-0.53363989448170712,-0.0093230029290624714
1433106573277,0.94799999999999995,0.0067573342846505239,-0.059275405526039666,-1.2413819978636034,349.95516657086176,-1.4084811985455683,-0.82803020066460009
1433106573328,0.999,0.029820745703398752,-0.014063799252446879,-1.4347210738466905,350.21656334293277,-1.9085353203775175,-1.6610904490256579
1433106573380,1.0509999999999999,-0.03009531151047394,-0.027319156989544457,-1.4300230015024435,351.20015257553155,-1.4628023772004528,-1.9694092313034217
1433106573431,1.1020000000000001,-0.073568006591951118,0.0028066584191434119,-1.3489349491224374,351.48566431948331,-0.81874100932836769,-2.7766374002631484
1433106573483,1.1539999999999999,-0.00038133945912274619,0.049360579588848263,-1.4587302061930585,352.52356734968743,1.3732735425348299,-2.6003264936223451
1433106573534,1.2050000000000001,-0.036730616702702917,0.023719314357434813,-0.80886675353443938,353.30704951951935,8.3961872659400534,-0.94315375359932518
1433106573585,1.256,0.07178334071627028,-0.0048658914984062414,-0.43219488939135564,353.38471807164177,11.13412823647139,-0.6135830986209152
1433106573636,1.3069999999999999,-0.032901968533110539,-0.14265146486863689,-0.40223686148267268,353.86964645847507,12.317903587833911,-0.45118242125418961
1433106573688,1.359,-0.011730001995366807,-0.17436364684124817,-0.56162150181761561,354.51367420114389,12.313453209693661,0.17569989249129001
1433106573739,1.4099999999999999,-0.055339984169902004,-0.18996807054261447,-0.81724098295284753,354.66426782136767,11.655849824602036,1.1402140852139477
1433106573790,1.4610000000000001,-0.0071234210964128989,-0.20415389970211187,-0.87287076090556492,354.39864220449215,11.724036857406167,1.2599443296458455
1433106573841,1.512,0.029851253209255278,-0.19137138671812265,-0.95958736694414093,354.27957218834484,11.463945805137609,1.8119047549015475
1433106573892,1.5629999999999999,0.066383573044087651,-0.20380305820604913,-0.90380502527763829,354.18468163312957,11.6179953803753,2.2027488278181728
1433106573944,1.615,0.066383573044087651,-0.20380305820604913,-0.90380502527763829,354.18468163312957,11.6179953803753,2.2027488278181728
1433106573995,1.6659999999999999,0.049467353706398098,-0.22367847686705614,-0.94965725577443028,354.23829536122753,12.008678262793591,2.1413740657650049
1433106574047,1.718,-0.00076267891824549237,-0.21846174934223886,-0.92435159533517186,354.27937970632274,12.045056319963626,2.0022231033411648
1433106574098,1.7689999999999999,0.045638706467810264,-0.20063031832841946,-0.96073135552936384,354.18615017450514,11.785182612791747,1.7131521672943513
1433106574149,1.8200000000000001,-0.0035845909157538147,-0.2164177698413409,-0.990552146851985,354.07975723598037,11.62576593494356,1.9791726425318976
1433106574200,1.871,0.04820130577110604,-0.19991339304635905,-0.9925808299483091,353.89286176558545,11.599449574457159,2.0912316123124777
1433106574252,1.923,0.040711802052451188,-0.23222048075140569,-0.96939540107469624,353.65082243801152,11.581190968537824,2.442338989721069
1433106574303,1.974,0.12059478682895911,-0.21203999657462996,-0.9921080081211876,353.61047007850487,11.542156790349241,2.4251196950392062
1433106574354,2.0249999999999999,0.14548862672049198,-0.21326027725779551,-1.0405076020319968,354.15414811070985,11.392695825493471,2.1106475901373729
1433106574405,2.0760000000000001,0.13751101268368043,-0.24019809478821724,-0.9589162113580938,354.67886156637593,11.370507965449431,2.2299774317160326
1433106574457,2.1280000000000001,0.26435976291823443,-0.20624363027893242,-0.92500752154897181,355.44732575211185,11.231287711524983,2.1707429192507495
1433106574509,2.1800000000000002,0.29849728060894803,-0.18322598919626326,-0.85847139782516257,357.44151440676541,10.605714923053192,1.6077535464940627
1433106574560,2.2309999999999999,0.26455806129898735,-0.16338107833205165,-0.96507864956948108,0.4395593802419766,9.8604084672273071,0.93655412182206077
1433106574611,2.282,0.086564053496845234,-0.17602628781402788,-1.0167882765025074,3.3034376049304766,9.5674751605422852,0.51797691028979598
1433106574663,2.3340000000000001,0.18545300389856487,-0.14321585099215672,-1.0031668515047427,6.4494641355737627,10.081874790920217,0.56132056942052444
1433106574714,2.3849999999999998,-0.030354619084161521,-0.15050705772656547,-0.98759295823521975,9.6295903033559807,10.63643958105318,1.134270410004764
1433106574766,2.4369999999999998,-0.0041032125801607486,-0.10753772002457812,-0.87915525753601664,13.212078662262247,10.564310741594376,1.1026407604445203
1433106574817,2.488,-0.21039260452519246,-0.09429762145187269,-0.97105807370163022,16.517933116512026,10.128283645313877,0.96747488380038904
1433106574867,2.5379999999999998,-0.27727953820728585,-0.1002312559877863,-1.0088869191854659,19.056451347235608,9.9020347910607693,0.94845487057857436
1433106574919,2.5899999999999999,-0.30421737994382553,-0.081408355181560171,-1.0276183096935569,20.807539736765388,9.6078169456185147,1.0664616600179209
1433106574970,2.641,-0.24257766790921578,-0.087631807706407078,-0.97661037529545291,22.032740172757801,9.5601431933031407,0.97658539799776223
1433106575021,2.6920000000000002,-0.19117309578540606,-0.12751991140662819,-0.98568625395707188,22.413085601221979,9.2483851530891865,1.2183444771327872
1433106575072,2.7429999999999999,-0.10921561736873635,-0.13554330107460708,-1.0056836509707532,22.268747429254891,9.2672738987314673,1.549024806767038
1433106575123,2.794,-0.025564997339588908,-0.14710551347520873,-1.033140142301836,21.846326427871709,9.5013213432151424,2.1370955882425129
1433106575176,2.847,0.042069368664919088,-0.15418317476753143,-0.94933696414493063,21.632832272282105,9.4911768726659069,2.2840803202279805
1433106575227,2.8980000000000001,0.048796198120351145,-0.16200825651196091,-0.97927973382022582,21.626499543364751,9.5215453978223792,2.344573542138785
1433106575278,2.9489999999999998,-0.016321328850453537,-0.17474499118814474,-0.97557309379545287,22.792311836613273,9.8482724795345895,1.5084062558447102
1433106575329,3.0,-0.016321328850453537,-0.17474499118814474,-0.97557309379545287,22.792311836613273,9.8482724795345895,1.5084062558447102
1433106575380,3.0510000000000002,-0.011562210538592587,-0.20563348807534057,-0.96840392686001786,23.093487412820231,10.386637251624606,1.6397772257002818
1433106575432,3.1030000000000002,-0.012446921807775513,-0.18655125874782474,-0.95945005680872042,23.074668511639985,10.426210130606542,1.7942007223263998
1433106575483,3.1539999999999999,0.03724923697060304,-0.17091635209584663,-0.94029160707061166,22.974780425976871,10.630955169099572,1.8407781737561706
1433106575534,3.2050000000000001,0.0055217953680973646,-0.1787414387280499,-0.9188602996757681,23.178228705047406,10.809990717996756,1.5465283995492398
1433106575585,3.2559999999999998,0.039781332375684882,-0.17771944152956462,-0.88980226268276008,23.586238123698976,11.555111469445333,0.62176548799218945
1433106575636,3.3069999999999999,-0.11485944543689786,-0.16821645476018948,-0.72167729960061466,23.145891800067613,12.064192543782351,0.063329284500676292
