t,tRel,x,y,z,alpha,beta,gamma
1444788723743,0.0,-0.030202084697019231,-0.27253569165747221,-0.94204574623846737,356.65488388562875,15.83007404426953,-1.716891847899787
1444788723786,0.042999999999999997,-0.029683464196367967,-0.26617492943361332,-0.96934962311601758,356.67240368600307,15.576327730598623,-1.8002400239755736
1444788723803,0.059999999999999998,-0.029683464196367967,-0.26617492943361332,-0.96934962311601758,356.67240368600307,15.576327730598623,-1.8002400239755736
1444788723820,0.076999999999999999,-0.029683464196367967,-0.26617492943361332,-0.96934962311601758,356.67240368600307,15.576327730598623,-1.8002400239755736
1444788723837,0.094,-0.028142852548760939,-0.26702914169235609,-0.94869632316364971,356.7590783911055,15.620208354744406,-1.8348417335600591
1444788723855,0.112,-0.028142852548760939,-0.26702914169235609,-0.94869632316364971,356.7590783911055,15.620208354744406,-1.8348417335600591
1444788723872,0.129,-0.028142852548760939,-0.26702914169235609,-0.94869632316364971,356.7590783911055,15.620208354744406,-1.8348417335600591
1444788723890,0.14699999999999999,-0.039155934731719043,-0.26808164726951467,-0.95406558181709344,356.80969660606246,15.607243859195076,-1.8645257624552773
1444788723907,0.16400000000000001,-0.039155934731719043,-0.26808164726951467,-0.95406558181709344,356.80969660606246,15.607243859195076,-1.8645257624552773
1444788723924,0.18099999999999999,-0.039155934731719043,-0.26808164726951467,-0.95406558181709344,356.80969660606246,15.607243859195076,-1.8645257624552773
1444788723941,0.19800000000000001,-0.029530928412718871,-0.26750200867319784,-0.94473034996256433,356.78755156748804,15.58222967878819,-1.8906397957369481
1444788723959,0.216,-0.029530928412718871,-0.26750200867319784,-0.94473034996256433,356.78755156748804,15.58222967878819,-1.8906397957369481
1444788723976,0.23300000000000001,-0.029530928412718871,-0.26750200867319784,-0.94473034996256433,356.78755156748804,15.58222967878819,-1.8906397957369481
1444788723994,0.251,-0.035571343350462956,-0.26805113464313318,-0.95940431702122786,356.80505064964927,15.513921279162325,-1.9445471957663794
1444788724011,0.26800000000000002,-0.035571343350462956,-0.26805113464313318,-0.95940431702122786,356.80505064964927,15.513921279162325,-1.9445471957663794
1444788724029,0.28599999999999998,-0.035571343350462956,-0.26805113464313318,-0.95940431702122786,356.80505064964927,15.513921279162325,-1.9445471957663794
1444788724046,0.30299999999999999,-0.039247455736406228,-0.26321573686007871,-0.9574976234496323,356.81895812877173,15.433524520853361,-1.9473906517427322
1444788724063,0.32000000000000001,-0.039247455736406228,-0.26321573686007871,-0.9574976234496323,356.81895812877173,15.433524520853361,-1.9473906517427322
1444788724080,0.33700000000000002,-0.039247455736406228,-0.26321573686007871,-0.9574976234496323,356.81895812877173,15.433524520853361,-1.9473906517427322
1444788724097,0.35399999999999998,-0.03398497376077482,-0.26588511615789051,-0.95734507137340386,356.79444176255157,15.47373427272106,-1.9620619312835443
1444788724115,0.372,-0.03398497376077482,-0.26588511615789051,-0.95734507137340386,356.79444176255157,15.47373427272106,-1.9620619312835443
1444788724133,0.39000000000000001,-0.03398497376077482,-0.26588511615789051,-0.95734507137340386,356.79444176255157,15.47373427272106,-1.9620619312835443
1444788724168,0.42499999999999999,-0.034198523043254582,-0.26768505094441725,-0.95226565770802496,356.79026585036928,15.504771928869809,-1.9488474400018632
1444788724186,0.443,-0.028951290572843218,-0.26699863081160818,-0.95447743029495502,356.80467007598514,15.498464123410816,-1.944823781224986
1444788724203,0.46000000000000002,-0.028951290572843218,-0.26699863081160818,-0.95447743029495502,356.80467007598514,15.498464123410816,-1.944823781224986
1444788724220,0.47699999999999998,-0.028951290572843218,-0.26699863081160818,-0.95447743029495502,356.80467007598514,15.498464123410816,-1.944823781224986
1444788724240,0.497,-0.027608974978477748,-0.26169037972184112,-0.96010595811814914,356.82212884459938,15.483328774807317,-1.9328093893536999
1444788724258,0.51500000000000001,-0.027608974978477748,-0.26169037972184112,-0.96010595811814914,356.82212884459938,15.483328774807317,-1.9328093893536999
1444788724274,0.53100000000000003,-0.027608974978477748,-0.26169037972184112,-0.96010595811814914,356.82212884459938,15.483328774807317,-1.9328093893536999
1444788724291,0.54800000000000004,-0.029942775726824841,-0.26316999916734635,-0.94553879333992275,356.83040060938657,15.525645337388518,-1.9452360983772452
1444788724307,0.56399999999999995,-0.029942775726824841,-0.26316999916734635,-0.94553879333992275,356.83040060938657,15.525645337388518,-1.9452360983772452
1444788724324,0.58099999999999996,-0.029942775726824841,-0.26316999916734635,-0.94553879333992275,356.83040060938657,15.525645337388518,-1.9452360983772452
1444788724352,0.60899999999999999,-0.036959420378176566,-0.26873753979258796,-0.94999283449845828,356.8609985186834,15.516716267733342,-1.9563958273742379
1444788724369,0.626,-0.036959420378176566,-0.26873753979258796,-0.94999283449845828,356.8609985186834,15.516716267733342,-1.9563958273742379
1444788724387,0.64400000000000002,-0.03281044537547536,-0.26277338471675432,-0.9610212247235469,356.87561819557101,15.479712389210357,-1.9808966002613382
1444788724412,0.66900000000000004,-0.03281044537547536,-0.26277338471675432,-0.9610212247235469,356.87561819557101,15.479712389210357,-1.9808966002613382
1444788724429,0.68600000000000005,-0.03281044537547536,-0.26277338471675432,-0.9610212247235469,356.87561819557101,15.479712389210357,-1.9808966002613382
1444788724446,0.70299999999999996,-0.035586598092583542,-0.26469535141781009,-0.95319612226426631,356.91099568840662,15.478067215315205,-2.0270264300896188
1444788724464,0.72099999999999997,-0.035586598092583542,-0.26469535141781009,-0.95319612226426631,356.91099568840662,15.478067215315205,-2.0270264300896188
1444788724480,0.73699999999999999,-0.035586598092583542,-0.26469535141781009,-0.95319612226426631,356.91099568840662,15.478067215315205,-2.0270264300896188
1444788724497,0.754,-0.032566389459955825,-0.2599362168133697,-0.95824507485763999,356.88240713443133,15.437538658337855,-2.0333615966367211
1444788724514,0.77100000000000002,-0.032566389459955825,-0.2599362168133697,-0.95824507485763999,356.88240713443133,15.437538658337855,-2.0333615966367211
1444788724532,0.78900000000000003,-0.032566389459955825,-0.2599362168133697,-0.95824507485763999,356.88240713443133,15.437538658337855,-2.0333615966367211
1444788724549,0.80600000000000005,-0.032673163577505653,-0.26367335608133391,-0.94884882263812187,356.9323773481064,15.401465266984953,-1.9933276360558432
1444788724566,0.82299999999999995,-0.032673163577505653,-0.26367335608133391,-0.94884882263812187,356.9323773481064,15.401465266984953,-1.9933276360558432
1444788724583,0.83999999999999997,-0.032673163577505653,-0.26367335608133391,-0.94884882263812187,356.9323773481064,15.401465266984953,-1.9933276360558432
