t,tRel,x,y,z,alpha,beta,gamma
1431205362446,0.0,0.12178456594142206,-0.17872617583963962,-0.56641112542419736,9.3964700798458107,8.4901119703761871,3.8925726194386319
1431205362497,0.050999999999999997,-0.31974550223720394,-0.082598124052973204,-0.40961959341128906,11.235186396211013,4.1551512003334858,4.7945707118144965
1431205362548,0.10199999999999999,-0.35870314138118364,0.20869947036075098,-1.0896851163363572,11.100720279716588,2.8124840394099251,4.9781649456471495
1431205362599,0.153,-0.21049938888379219,0.15277983717891888,-1.1298630715416749,10.388821236604054,2.199945403996233,5.1849750112593247
1431205362650,0.20399999999999999,-0.070151206900220392,0.018639874623928913,-1.1001490934387943,9.6964472832053197,1.5642080577087873,6.0907732064478948
1431205362701,0.255,-0.0054455274762728158,-0.015467129393023124,-1.1204973297374023,8.8408822035036874,1.7300187934050366,6.6628793387532701
1431205362752,0.30599999999999999,0.03101052481586172,-0.043243895595523954,-1.0421854882041004,7.9346435739310692,1.832978084494997,7.0607324041118851
1431205362803,0.35699999999999998,0.12787074557103018,-0.029729222836702488,-1.0178255161073031,7.6602449191263924,2.1336316807536537,6.8851650454151905
1431205362857,0.41099999999999998,0.071508771650679204,-0.040864335043086675,-0.99810264114348379,7.150479318513538,2.387502690701806,6.4938233393459246
1431205362909,0.46300000000000002,0.071508771650679204,-0.040864335043086675,-0.99810264114348379,7.150479318513538,2.387502690701806,6.4938233393459246
1431205362960,0.51400000000000001,0.081027008274401111,-0.025610758074683635,-0.99097921830143731,6.8117847205179993,2.4421724086761674,6.4039469285919708
1431205363011,0.56499999999999995,0.018548351291730374,-0.0043930305690940367,-1.0162696380800187,6.723372606175765,2.0896108950095234,5.2049651020395613
1431205363068,0.622,-0.11057318956723149,-0.011775762497710403,-1.0594983070963093,6.0297572758686071,2.7956935052349507,5.1623951524596086
1431205363119,0.67300000000000004,-0.27929301986149935,-0.0096860222617177541,-1.0916985812324889,3.8328413790845177,4.4032857640658527,5.3553058444545334
1431205363170,0.72399999999999998,-0.13086044879256159,-0.051968941489247855,-0.94923020399244884,2.1090568567470176,5.0018769353640575,5.0425296670377877
1431205363220,0.77400000000000002,-0.1875732531532964,-0.091079113623863089,-0.93939161987895481,359.9648115323053,5.0315493334424763,4.682098382289662
1431205363271,0.82499999999999996,-0.098522870106989013,-0.052533323888749518,-0.96361430232243173,357.88398018037657,4.881210774381743,3.526112679122702
1431205363322,0.876,-0.10607338022556492,-0.11823048590641622,-0.92642607454476322,355.43191817780928,4.3852038951050885,2.024467129747721
1431205363374,0.92800000000000005,0.028066585122438661,-0.0555382797576413,-0.94326602505962365,353.27524602389184,3.6482450486312556,1.266594135418867
1431205363425,0.97899999999999998,0.094282371597525921,-0.05540099569034803,-0.93649345488569458,349.92759859229807,2.7334082913422368,0.47369649907393407
1431205363476,1.03,0.15859145519097223,-0.014490901308673433,-1.0668963000513272,346.31933332361967,2.2842539873823058,-0.57044361601796645
